Value,AFRICA_2024_DynamicWorld_2024_38QLD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38QLD_M_R,AFRICA_2024_GLC_FCS30D_2022_38QLD_M_R,AFRICA_2024_GSW_Yearly_2021_38QLD_M_R,AFRICA_2024_GWL_FCS30D_2022_38QLD_M_R,AFRICA_2024_WorldCover_2021_38QLD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Water,Non_Wetland,NULL
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
21,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
22,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
29,NULL,NULL,Grassland,NULL,Non_Wetland,Water
30,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
34,NULL,NULL,Grassland,Water,Non_Wetland,NULL
35,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
36,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
37,NULL,NULL,Grassland,Water,Non_Wetland,Water
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
39,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
43,NULL,NULL,Cropland,NULL,Non_Wetland,Water
44,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
50,NULL,NULL,Cropland,Water,Non_Wetland,NULL
51,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
52,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
53,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
54,NULL,NULL,Cropland,Water,Non_Wetland,Water
55,NULL,NULL,Wetland,NULL,Wetland,Bareland
56,NULL,NULL,Wetland,NULL,Wetland,Water
57,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
58,NULL,NULL,Wetland,Non_Water,Wetland,Water
59,NULL,NULL,Wetland,Water,Wetland,Grassland
60,NULL,NULL,Wetland,Water,Wetland,Cropland
61,NULL,NULL,Wetland,Water,Wetland,Bareland
62,NULL,NULL,Wetland,Water,Wetland,Water
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
69,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
70,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
71,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
72,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
73,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
74,NULL,NULL,Bareland,NULL,Non_Wetland,Water
75,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
76,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
81,NULL,NULL,Bareland,Water,Non_Wetland,NULL
82,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
83,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
84,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
85,NULL,NULL,Bareland,Water,Non_Wetland,Water
86,NULL,NULL,Bareland,Water,Non_Wetland,Forest
87,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
88,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
90,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
91,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
92,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
93,NULL,NULL,Built-up,Water,Non_Wetland,NULL
94,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
95,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
96,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
97,NULL,NULL,Water,NULL,Water,NULL
98,NULL,NULL,Water,NULL,Water,Grassland
99,NULL,NULL,Water,NULL,Water,Water
100,NULL,NULL,Water,NULL,Water,Forest
101,NULL,NULL,Water,Non_Water,Water,Cropland
102,NULL,NULL,Water,Water,Water,Forest
103,NULL,NULL,Forest,NULL,Non_Wetland,NULL
104,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
105,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
106,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
107,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
108,NULL,NULL,Forest,NULL,Non_Wetland,Water
109,NULL,NULL,Forest,NULL,Non_Wetland,Forest
110,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
111,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
112,NULL,NULL,Forest,Water,Non_Wetland,Grassland
113,NULL,NULL,Forest,Water,Non_Wetland,Forest
114,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
115,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
116,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
117,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
118,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
119,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
120,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
121,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
