Value,AFRICA_2024_DynamicWorld_2024_38NKJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NKJ_M_R,AFRICA_2024_GLC_FCS30D_2022_38NKJ_M_R,AFRICA_2024_GSW_Yearly_2021_38NKJ_M_R,AFRICA_2024_GWL_FCS30D_2022_38NKJ_M_R,AFRICA_2024_WorldCover_2021_38NKJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,NULL,Water,Non_Wetland,NULL
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
23,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Grassland,NULL,Non_Wetland,Water
32,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
37,NULL,NULL,Grassland,Water,Non_Wetland,NULL
38,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
40,NULL,NULL,Grassland,Water,Non_Wetland,Water
41,NULL,NULL,Grassland,Water,Non_Wetland,Forest
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
43,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
48,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
53,NULL,NULL,Cropland,Water,Non_Wetland,NULL
54,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
55,NULL,NULL,Cropland,Water,Non_Wetland,Water
56,NULL,NULL,Cropland,Water,Non_Wetland,Forest
57,NULL,NULL,Wetland,NULL,Wetland,NULL
58,NULL,NULL,Wetland,NULL,Wetland,Grassland
59,NULL,NULL,Wetland,NULL,Wetland,Water
60,NULL,NULL,Wetland,NULL,Wetland,Forest
61,NULL,NULL,Wetland,Non_Water,Wetland,NULL
62,NULL,NULL,Wetland,Non_Water,Wetland,Forest
63,NULL,NULL,Wetland,Water,Wetland,NULL
64,NULL,NULL,Wetland,Water,Wetland,Grassland
65,NULL,NULL,Wetland,Water,Wetland,Cropland
66,NULL,NULL,Wetland,Water,Wetland,Wetland
67,NULL,NULL,Wetland,Water,Wetland,Bareland
68,NULL,NULL,Wetland,Water,Wetland,Forest
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
70,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
71,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
72,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
73,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
74,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
75,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
76,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
77,NULL,NULL,Bareland,NULL,Non_Wetland,Water
78,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
83,NULL,NULL,Bareland,Water,Non_Wetland,NULL
84,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
85,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
86,NULL,NULL,Bareland,Water,Non_Wetland,Forest
87,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
88,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
90,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
91,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
92,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
93,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
94,NULL,NULL,Built-up,Water,Non_Wetland,NULL
95,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
96,NULL,NULL,Built-up,Water,Non_Wetland,Forest
97,NULL,NULL,Water,NULL,Water,NULL
98,NULL,NULL,Water,NULL,Water,Grassland
99,NULL,NULL,Water,NULL,Water,Bareland
100,NULL,NULL,Water,NULL,Water,Water
101,NULL,NULL,Water,NULL,Water,Forest
102,NULL,NULL,Water,Non_Water,Water,NULL
103,NULL,NULL,Water,Non_Water,Water,Grassland
104,NULL,NULL,Water,Non_Water,Water,Bareland
105,NULL,NULL,Water,Water,Water,NULL
106,NULL,NULL,Water,Water,Water,Grassland
107,NULL,NULL,Water,Water,Water,Cropland
108,NULL,NULL,Water,Water,Water,Bareland
109,NULL,NULL,Forest,NULL,Non_Wetland,NULL
110,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
111,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
112,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
113,NULL,NULL,Forest,NULL,Non_Wetland,Forest
114,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
115,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
116,NULL,NULL,Forest,Water,Non_Wetland,NULL
117,NULL,NULL,Forest,Water,Non_Wetland,Grassland
118,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
119,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
120,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
121,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
122,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
123,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL
