Value,AFRICA_2024_DynamicWorld_2024_36NTP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NTP_M_R,AFRICA_2024_GLC_FCS30D_2022_36NTP_M_R,AFRICA_2024_GSW_Yearly_2021_36NTP_M_R,AFRICA_2024_GWL_FCS30D_2022_36NTP_M_R,AFRICA_2024_WorldCover_2021_36NTP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
5,NULL,NULL,NULL,Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Water,Non_Wetland,Wetland
7,NULL,NULL,NULL,Water,Non_Wetland,Water
8,NULL,NULL,NULL,Water,Non_Wetland,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Water
24,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
32,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
33,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
34,NULL,NULL,Grassland,Water,Non_Wetland,Water
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
36,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
40,NULL,NULL,Cropland,NULL,Non_Wetland,Water
41,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
44,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
45,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
46,NULL,NULL,Cropland,Water,Non_Wetland,Water
47,NULL,NULL,Wetland,NULL,Wetland,NULL
48,NULL,NULL,Wetland,NULL,Wetland,Grassland
49,NULL,NULL,Wetland,NULL,Wetland,Wetland
50,NULL,NULL,Wetland,NULL,Wetland,Built-up
51,NULL,NULL,Wetland,NULL,Wetland,Forest
52,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
53,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
54,NULL,NULL,Wetland,Non_Water,Wetland,Forest
55,NULL,NULL,Wetland,Water,Wetland,Wetland
56,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
57,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
60,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
61,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
62,NULL,NULL,Bareland,Water,Non_Wetland,Water
63,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
64,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
65,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
66,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
67,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
68,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
69,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
70,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
71,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
72,NULL,NULL,Built-up,Water,Non_Wetland,Water
73,NULL,NULL,Water,NULL,Water,Grassland
74,NULL,NULL,Water,NULL,Water,Wetland
75,NULL,NULL,Water,NULL,Water,Forest
76,NULL,NULL,Water,Water,Water,Grassland
77,NULL,NULL,Water,Water,Water,Wetland
78,NULL,NULL,Water,Water,Water,Water
79,NULL,NULL,Water,Water,Water,Forest
80,NULL,NULL,Forest,NULL,Non_Wetland,NULL
81,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
82,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
83,NULL,NULL,Forest,NULL,Non_Wetland,Water
84,NULL,NULL,Forest,NULL,Non_Wetland,Forest
85,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
86,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
87,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
88,NULL,NULL,Forest,Water,Non_Wetland,Grassland
89,NULL,NULL,Forest,Water,Non_Wetland,Wetland
90,NULL,NULL,Forest,Water,Non_Wetland,Water
91,NULL,NULL,Forest,Water,Non_Wetland,Forest
92,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
93,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
94,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
101,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
102,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
103,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
104,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
105,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
106,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
107,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
108,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
109,NULL,Cropland,Grassland,Water,Non_Wetland,Water
110,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
111,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
112,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
113,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
114,NULL,Cropland,Cropland,Water,Non_Wetland,Wetland
115,NULL,Cropland,Cropland,Water,Non_Wetland,Water
116,NULL,Cropland,Wetland,NULL,Wetland,NULL
117,NULL,Cropland,Wetland,NULL,Wetland,Grassland
118,NULL,Cropland,Wetland,NULL,Wetland,Wetland
119,NULL,Cropland,Wetland,NULL,Wetland,Forest
120,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
121,NULL,Cropland,Wetland,Water,Wetland,Wetland
122,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
