Value,AFRICA_2024_DynamicWorld_2024_37NHG_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NHG_M_R,AFRICA_2024_GLC_FCS30D_2022_37NHG_M_R,AFRICA_2024_GSW_Yearly_2021_37NHG_M_R,AFRICA_2024_GWL_FCS30D_2022_37NHG_M_R,AFRICA_2024_WorldCover_2021_37NHG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
19,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
23,NULL,NULL,Grassland,NULL,Non_Wetland,Water
24,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
29,NULL,NULL,Grassland,Water,Non_Wetland,NULL
30,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
32,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
33,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
34,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
39,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
45,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
46,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
47,NULL,NULL,Cropland,Water,Non_Wetland,Forest
48,NULL,NULL,Wetland,NULL,Wetland,NULL
49,NULL,NULL,Wetland,NULL,Wetland,Grassland
50,NULL,NULL,Wetland,NULL,Wetland,Cropland
51,NULL,NULL,Wetland,NULL,Wetland,Wetland
52,NULL,NULL,Wetland,NULL,Wetland,Bareland
53,NULL,NULL,Wetland,NULL,Wetland,Forest
54,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
55,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
56,NULL,NULL,Wetland,Water,Wetland,Grassland
57,NULL,NULL,Wetland,Water,Wetland,Cropland
58,NULL,NULL,Wetland,Water,Wetland,Bareland
59,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
60,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
61,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
62,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
63,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL
64,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
65,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
66,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
67,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
68,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
69,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
70,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
71,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
72,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
73,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
74,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
75,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
76,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
77,NULL,NULL,Water,NULL,Water,Grassland
78,NULL,NULL,Water,NULL,Water,Cropland
79,NULL,NULL,Water,NULL,Water,Bareland
80,NULL,NULL,Water,NULL,Water,Forest
81,NULL,NULL,Water,Non_Water,Water,Bareland
82,NULL,NULL,Water,Water,Water,Grassland
83,NULL,NULL,Water,Water,Water,Bareland
84,NULL,NULL,Forest,NULL,Non_Wetland,NULL
85,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
86,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
87,NULL,NULL,Forest,NULL,Non_Wetland,Forest
88,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
89,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
90,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
91,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
92,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
93,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
94,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
99,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
100,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
101,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
102,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
103,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
104,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
105,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
106,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
107,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
108,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
109,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
110,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
111,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
112,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
113,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
114,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
115,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
116,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
117,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
118,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
119,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
