Value,AFRICA_2024_DynamicWorld_2024_36PXS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PXS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PXS_M_R,AFRICA_2024_GSW_Yearly_2021_36PXS_M_R,AFRICA_2024_GWL_FCS30D_2022_36PXS_M_R,AFRICA_2024_WorldCover_2021_36PXS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
33,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
35,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
39,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
41,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
42,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
43,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
44,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
45,NULL,NULL,Wetland,NULL,Wetland,NULL
46,NULL,NULL,Wetland,NULL,Wetland,Grassland
47,NULL,NULL,Wetland,NULL,Wetland,Cropland
48,NULL,NULL,Wetland,NULL,Wetland,Forest
49,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
50,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
51,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
52,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
53,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
54,NULL,NULL,Bareland,NULL,Non_Wetland,Water
55,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
56,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
57,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
58,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
59,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
60,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
61,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
62,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
63,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
64,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
65,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
66,NULL,NULL,Built-up,Water,Non_Wetland,Forest
67,NULL,NULL,Forest,NULL,Non_Wetland,NULL
68,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
69,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
70,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
71,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
72,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
73,NULL,NULL,Forest,NULL,Non_Wetland,Forest
74,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
75,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
76,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
77,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
78,NULL,NULL,Forest,Water,Non_Wetland,Grassland
79,NULL,NULL,Forest,Water,Non_Wetland,Forest
80,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
81,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
82,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
83,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
84,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
85,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
86,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
91,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
92,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
93,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
94,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
95,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
96,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
97,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
98,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
99,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
100,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
101,NULL,Cropland,Grassland,NULL,Non_Wetland,Water
102,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
103,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
104,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
105,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
106,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
107,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
108,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
109,NULL,Cropland,Wetland,NULL,Wetland,Cropland
110,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
111,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
112,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
113,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
114,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
115,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
116,NULL,Cropland,Water,Water,Water,Water
117,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
118,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
119,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
