Value,AFRICA_2024_DynamicWorld_2024_38PLB_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PLB_M_R,AFRICA_2024_GLC_FCS30D_2022_38PLB_M_R,AFRICA_2024_GSW_Yearly_2021_38PLB_M_R,AFRICA_2024_GWL_FCS30D_2022_38PLB_M_R,AFRICA_2024_WorldCover_2021_38PLB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,NULL,Water,Non_Wetland,NULL
10,NULL,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
20,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
30,NULL,NULL,Grassland,NULL,Non_Wetland,Water
31,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
37,NULL,NULL,Grassland,Water,Non_Wetland,NULL
38,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
40,NULL,NULL,Grassland,Water,Non_Wetland,Water
41,NULL,NULL,Grassland,Water,Non_Wetland,Forest
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
43,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
47,NULL,NULL,Cropland,NULL,Non_Wetland,Water
48,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
54,NULL,NULL,Cropland,Water,Non_Wetland,NULL
55,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
56,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
57,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
58,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
59,NULL,NULL,Cropland,Water,Non_Wetland,Forest
60,NULL,NULL,Wetland,NULL,Wetland,NULL
61,NULL,NULL,Wetland,NULL,Wetland,Grassland
62,NULL,NULL,Wetland,NULL,Wetland,Cropland
63,NULL,NULL,Wetland,NULL,Wetland,Bareland
64,NULL,NULL,Wetland,NULL,Wetland,Forest
65,NULL,NULL,Wetland,Water,Wetland,Grassland
66,NULL,NULL,Wetland,Water,Wetland,Bareland
67,NULL,NULL,Wetland,Water,Wetland,Water
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
70,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
71,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
73,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
74,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
75,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Cropland
76,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
77,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
78,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
79,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
80,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
81,NULL,NULL,Bareland,NULL,Non_Wetland,Water
82,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
84,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
85,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
87,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
88,NULL,NULL,Bareland,Water,Non_Wetland,NULL
89,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
90,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
91,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
92,NULL,NULL,Bareland,Water,Non_Wetland,Water
93,NULL,NULL,Bareland,Water,Non_Wetland,Forest
94,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
95,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
96,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
97,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
98,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
99,NULL,NULL,Built-up,NULL,Non_Wetland,Water
100,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
101,NULL,NULL,Built-up,Water,Non_Wetland,NULL
102,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
103,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
104,NULL,NULL,Built-up,Water,Non_Wetland,Water
105,NULL,NULL,Built-up,Water,Non_Wetland,Forest
106,NULL,NULL,Water,NULL,Water,NULL
107,NULL,NULL,Water,NULL,Water,Grassland
108,NULL,NULL,Water,NULL,Water,Cropland
109,NULL,NULL,Water,NULL,Water,Bareland
110,NULL,NULL,Water,NULL,Water,Water
111,NULL,NULL,Water,NULL,Water,Forest
112,NULL,NULL,Water,Water,Water,NULL
113,NULL,NULL,Water,Water,Water,Grassland
114,NULL,NULL,Water,Water,Water,Bareland
115,NULL,NULL,Water,Water,Water,Water
116,NULL,NULL,Water,Water,Water,Forest
117,NULL,NULL,Forest,NULL,Non_Wetland,NULL
118,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
119,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
120,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
121,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
122,NULL,NULL,Forest,NULL,Non_Wetland,Water
