Value,AFRICA_2024_DynamicWorld_2024_35PPQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PPQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PPQ_M_R,AFRICA_2024_GSW_Yearly_2021_35PPQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PPQ_M_R,AFRICA_2024_WorldCover_2021_35PPQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
29,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
35,NULL,NULL,Grassland,Water,Non_Wetland,NULL
36,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
37,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
38,NULL,NULL,Grassland,Water,Non_Wetland,Forest
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
40,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
47,NULL,NULL,Cropland,Water,Non_Wetland,NULL
48,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
49,NULL,NULL,Wetland,NULL,Wetland,Grassland
50,NULL,NULL,Wetland,NULL,Wetland,Bareland
51,NULL,NULL,Wetland,NULL,Wetland,Forest
52,NULL,NULL,Wetland,Non_Water,Wetland,Forest
53,NULL,NULL,Wetland,Water,Wetland,Grassland
54,NULL,NULL,Wetland,Water,Wetland,Wetland
55,NULL,NULL,Wetland,Water,Wetland,Forest
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
58,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
59,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
60,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
61,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
62,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
63,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
64,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
65,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
66,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
67,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
68,NULL,NULL,Forest,NULL,Non_Wetland,NULL
69,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
70,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
71,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
72,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
73,NULL,NULL,Forest,NULL,Non_Wetland,Forest
74,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
75,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
76,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
77,NULL,NULL,Forest,Water,Non_Wetland,Grassland
78,NULL,NULL,Forest,Water,Non_Wetland,Wetland
79,NULL,NULL,Forest,Water,Non_Wetland,Forest
80,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
81,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
82,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
83,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
84,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
86,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
87,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
88,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
89,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
90,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
91,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
92,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
93,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
94,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
95,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
96,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
97,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
98,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
99,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
100,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
101,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
102,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
103,NULL,Built-up,NULL,Water,Non_Wetland,Grassland
104,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
105,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
106,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
107,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
108,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
109,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
110,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
111,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
112,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
113,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
114,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
115,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
116,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
117,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
118,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
