Value,AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R,AFRICA_2024_GSW_Yearly_2021_35PRQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
30,NULL,NULL,Grassland,NULL,Non_Wetland,Water
31,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
36,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
37,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
38,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
39,NULL,NULL,Grassland,Water,Non_Wetland,Water
40,NULL,NULL,Grassland,Water,Non_Wetland,Forest
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
42,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
47,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
53,NULL,NULL,Cropland,Water,Non_Wetland,NULL
54,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
55,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
56,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
57,NULL,NULL,Cropland,Water,Non_Wetland,Forest
58,NULL,NULL,Wetland,NULL,Wetland,NULL
59,NULL,NULL,Wetland,NULL,Wetland,Forest
60,NULL,NULL,Wetland,Non_Water,Wetland,Forest
61,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
62,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
64,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
65,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
66,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
67,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
68,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
69,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
70,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
71,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
72,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
73,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
74,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
75,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
76,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
77,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
78,NULL,NULL,Built-up,Water,Non_Wetland,NULL
79,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
80,NULL,NULL,Forest,NULL,Non_Wetland,NULL
81,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
82,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
83,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
84,NULL,NULL,Forest,NULL,Non_Wetland,Forest
85,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
86,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
87,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
88,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
89,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
90,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
91,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
92,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
93,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
94,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
96,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
97,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
98,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
99,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
100,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
101,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
102,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
103,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
104,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
105,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
106,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
107,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
108,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
109,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
110,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
111,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
112,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
113,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
114,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
115,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
116,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
117,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
