Value,AFRICA_2024_DynamicWorld_2024_37NGJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NGJ_M_R,AFRICA_2024_GLC_FCS30D_2022_37NGJ_M_R,AFRICA_2024_GSW_Yearly_2021_37NGJ_M_R,AFRICA_2024_GWL_FCS30D_2022_37NGJ_M_R,AFRICA_2024_WorldCover_2021_37NGJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
15,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
19,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
21,NULL,NULL,Grassland,Water,Non_Wetland,NULL
22,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
23,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
24,NULL,NULL,Grassland,Water,Non_Wetland,Water
25,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
26,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
28,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
30,NULL,NULL,Cropland,NULL,Non_Wetland,Water
31,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
32,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
33,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
34,NULL,NULL,Cropland,Water,Non_Wetland,Water
35,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
36,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
37,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
38,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
39,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
40,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
41,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
42,NULL,NULL,Bareland,NULL,Non_Wetland,Water
43,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
44,NULL,NULL,Bareland,Water,Non_Wetland,NULL
45,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
46,NULL,NULL,Bareland,Water,Non_Wetland,Water
47,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
48,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
49,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
50,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
51,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
52,NULL,NULL,Water,NULL,Water,NULL
53,NULL,NULL,Water,Non_Water,Water,Grassland
54,NULL,NULL,Forest,NULL,Non_Wetland,NULL
55,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
56,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
57,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
58,NULL,NULL,Forest,NULL,Non_Wetland,Water
59,NULL,NULL,Forest,NULL,Non_Wetland,Forest
60,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
61,NULL,NULL,Forest,Water,Non_Wetland,NULL
62,NULL,NULL,Forest,Water,Non_Wetland,Grassland
63,NULL,NULL,Forest,Water,Non_Wetland,Forest
64,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
65,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
66,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
67,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
68,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
69,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
70,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
71,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
72,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
73,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
74,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
75,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
76,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
77,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
78,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
79,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
80,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
81,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
82,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
83,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
84,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
85,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
86,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
87,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
88,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
89,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
90,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
91,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
92,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
93,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
94,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
95,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
96,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
97,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
98,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
99,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
100,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
101,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
102,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
103,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
104,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
105,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
106,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
107,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
108,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
109,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
110,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
111,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
112,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
113,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
114,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
115,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
116,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
117,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
118,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
