Value,AFRICA_2024_DynamicWorld_2024_36PTV_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTV_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTV_M_R,AFRICA_2024_GSW_Yearly_2021_36PTV_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTV_M_R,AFRICA_2024_WorldCover_2021_36PTV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
22,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
33,NULL,NULL,Grassland,Water,Non_Wetland,NULL
34,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
35,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
37,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
42,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
48,NULL,NULL,Cropland,Water,Non_Wetland,NULL
49,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
50,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
51,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
52,NULL,NULL,Cropland,Water,Non_Wetland,Forest
53,NULL,NULL,Wetland,NULL,Wetland,NULL
54,NULL,NULL,Wetland,NULL,Wetland,Grassland
55,NULL,NULL,Wetland,NULL,Wetland,Wetland
56,NULL,NULL,Wetland,NULL,Wetland,Forest
57,NULL,NULL,Wetland,Non_Water,Wetland,NULL
58,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
59,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
60,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
61,NULL,NULL,Wetland,Non_Water,Wetland,Forest
62,NULL,NULL,Wetland,Water,Wetland,Cropland
63,NULL,NULL,Wetland,Water,Wetland,Wetland
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
67,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
68,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
69,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
70,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
71,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
72,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
73,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
74,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
75,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
76,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
77,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
78,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
79,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
80,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
81,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
82,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
83,NULL,NULL,Built-up,Water,Non_Wetland,NULL
84,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
85,NULL,NULL,Forest,NULL,Non_Wetland,NULL
86,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
87,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
88,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
89,NULL,NULL,Forest,NULL,Non_Wetland,Forest
90,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
91,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
92,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
93,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
94,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
95,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
96,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
97,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
98,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
104,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
105,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
106,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
107,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
108,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
109,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
110,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
111,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
112,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
113,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
114,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
115,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
116,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
117,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
118,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
