Value,AFRICA_2024_DynamicWorld_2024_36PYU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PYU_M_R,AFRICA_2024_GLC_FCS30D_2022_36PYU_M_R,AFRICA_2024_GSW_Yearly_2021_36PYU_M_R,AFRICA_2024_GWL_FCS30D_2022_36PYU_M_R,AFRICA_2024_WorldCover_2021_36PYU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,NULL,Water,Non_Wetland,Cropland
12,NULL,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,NULL,Water,Non_Wetland,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
27,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Water
31,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
33,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
38,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
43,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
44,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
46,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
49,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
50,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
51,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
58,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
59,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
60,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
61,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
62,NULL,NULL,Cropland,Water,Non_Wetland,Forest
63,NULL,NULL,Wetland,NULL,Wetland,NULL
64,NULL,NULL,Wetland,NULL,Wetland,Grassland
65,NULL,NULL,Wetland,NULL,Wetland,Wetland
66,NULL,NULL,Wetland,NULL,Wetland,Water
67,NULL,NULL,Wetland,NULL,Wetland,Forest
68,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
69,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
70,NULL,NULL,Wetland,Non_Water,Wetland,Forest
71,NULL,NULL,Wetland,Water,Wetland,Grassland
72,NULL,NULL,Wetland,Water,Wetland,Wetland
73,NULL,NULL,Wetland,Water,Wetland,Water
74,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
75,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
76,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
77,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
78,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
79,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
80,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
81,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
82,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
84,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
85,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
87,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
88,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
89,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
90,NULL,NULL,Bareland,Water,Non_Wetland,Water
91,NULL,NULL,Bareland,Water,Non_Wetland,Forest
92,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
93,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
94,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
95,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
96,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
97,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
98,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
99,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
100,NULL,NULL,Built-up,Water,Non_Wetland,Forest
101,NULL,NULL,Water,NULL,Water,Bareland
102,NULL,NULL,Forest,NULL,Non_Wetland,NULL
103,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
104,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
105,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
106,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
107,NULL,NULL,Forest,NULL,Non_Wetland,Water
108,NULL,NULL,Forest,NULL,Non_Wetland,Forest
109,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
110,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
111,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
112,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
113,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
114,NULL,NULL,Forest,Water,Non_Wetland,NULL
115,NULL,NULL,Forest,Water,Non_Wetland,Grassland
116,NULL,NULL,Forest,Water,Non_Wetland,Cropland
117,NULL,NULL,Forest,Water,Non_Wetland,Wetland
118,NULL,NULL,Forest,Water,Non_Wetland,Bareland
119,NULL,NULL,Forest,Water,Non_Wetland,Forest
120,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
