Value,AFRICA_2024_DynamicWorld_2024_37PEK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PEK_M_R,AFRICA_2024_GLC_FCS30D_2022_37PEK_M_R,AFRICA_2024_GSW_Yearly_2021_37PEK_M_R,AFRICA_2024_GWL_FCS30D_2022_37PEK_M_R,AFRICA_2024_WorldCover_2021_37PEK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,NULL,Water,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
22,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
30,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
35,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
36,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
37,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
38,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
40,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
45,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
51,NULL,NULL,Cropland,Water,Non_Wetland,NULL
52,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
53,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
54,NULL,NULL,Wetland,NULL,Wetland,NULL
55,NULL,NULL,Wetland,NULL,Wetland,Grassland
56,NULL,NULL,Wetland,NULL,Wetland,Cropland
57,NULL,NULL,Wetland,NULL,Wetland,Wetland
58,NULL,NULL,Wetland,NULL,Wetland,Forest
59,NULL,NULL,Wetland,Non_Water,Wetland,NULL
60,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
61,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
62,NULL,NULL,Wetland,Non_Water,Wetland,Forest
63,NULL,NULL,Wetland,Water,Wetland,NULL
64,NULL,NULL,Wetland,Water,Wetland,Grassland
65,NULL,NULL,Wetland,Water,Wetland,Cropland
66,NULL,NULL,Wetland,Water,Wetland,Wetland
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
70,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
71,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
72,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
73,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
74,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
75,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
76,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
77,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
82,NULL,NULL,Bareland,Water,Non_Wetland,NULL
83,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
84,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
85,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
86,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
88,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
90,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
91,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
92,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
93,NULL,NULL,Built-up,Water,Non_Wetland,NULL
94,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
95,NULL,NULL,Water,NULL,Water,Grassland
96,NULL,NULL,Water,Non_Water,Water,Wetland
97,NULL,NULL,Forest,NULL,Non_Wetland,NULL
98,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
99,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
100,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
101,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
102,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
103,NULL,NULL,Forest,NULL,Non_Wetland,Forest
104,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
105,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
106,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
107,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
108,NULL,NULL,Forest,Water,Non_Wetland,Grassland
109,NULL,NULL,Forest,Water,Non_Wetland,Cropland
110,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
111,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
112,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
113,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
114,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
115,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
116,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
117,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
118,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
119,NULL,Cropland,NULL,Water,Non_Wetland,NULL
