Value,AFRICA_2024_DynamicWorld_2024_37NEF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NEF_M_R,AFRICA_2024_GLC_FCS30D_2022_37NEF_M_R,AFRICA_2024_GSW_Yearly_2021_37NEF_M_R,AFRICA_2024_GWL_FCS30D_2022_37NEF_M_R,AFRICA_2024_WorldCover_2021_37NEF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Water
25,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Grassland,NULL,Non_Wetland,Water
32,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
37,NULL,NULL,Grassland,Water,Non_Wetland,NULL
38,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
40,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
41,NULL,NULL,Grassland,Water,Non_Wetland,Forest
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
43,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
47,NULL,NULL,Cropland,NULL,Non_Wetland,Water
48,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
53,NULL,NULL,Cropland,Water,Non_Wetland,NULL
54,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
55,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
56,NULL,NULL,Cropland,Water,Non_Wetland,Forest
57,NULL,NULL,Wetland,NULL,Wetland,NULL
58,NULL,NULL,Wetland,NULL,Wetland,Grassland
59,NULL,NULL,Wetland,NULL,Wetland,Cropland
60,NULL,NULL,Wetland,NULL,Wetland,Bareland
61,NULL,NULL,Wetland,NULL,Wetland,Forest
62,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
63,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
64,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
65,NULL,NULL,Wetland,Water,Wetland,NULL
66,NULL,NULL,Wetland,Water,Wetland,Grassland
67,NULL,NULL,Wetland,Water,Wetland,Cropland
68,NULL,NULL,Wetland,Water,Wetland,Water
69,NULL,NULL,Wetland,Water,Wetland,Forest
70,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
71,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
73,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
74,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
75,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
76,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
77,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
78,NULL,NULL,Bareland,NULL,Non_Wetland,Water
79,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
84,NULL,NULL,Bareland,Water,Non_Wetland,NULL
85,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
86,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
87,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
88,NULL,NULL,Bareland,Water,Non_Wetland,Water
89,NULL,NULL,Bareland,Water,Non_Wetland,Forest
90,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
91,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
92,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
93,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
94,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
95,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
96,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
97,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
98,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
99,NULL,NULL,Built-up,Water,Non_Wetland,Forest
100,NULL,NULL,Water,NULL,Water,Bareland
101,NULL,NULL,Forest,NULL,Non_Wetland,NULL
102,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
103,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
104,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
105,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
106,NULL,NULL,Forest,NULL,Non_Wetland,Water
107,NULL,NULL,Forest,NULL,Non_Wetland,Forest
108,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
109,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
110,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
111,NULL,NULL,Forest,Water,Non_Wetland,NULL
112,NULL,NULL,Forest,Water,Non_Wetland,Grassland
113,NULL,NULL,Forest,Water,Non_Wetland,Cropland
114,NULL,NULL,Forest,Water,Non_Wetland,Forest
115,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
116,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
117,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
118,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
119,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
120,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
121,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
