Value,AFRICA_2024_DynamicWorld_2024_35NQD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NQD_M_R,AFRICA_2024_GLC_FCS30D_2022_35NQD_M_R,AFRICA_2024_GSW_Yearly_2021_35NQD_M_R,AFRICA_2024_GWL_FCS30D_2022_35NQD_M_R,AFRICA_2024_WorldCover_2021_35NQD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,NULL,Water,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
25,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
26,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
29,NULL,NULL,Shrubland,Water,Non_Wetland,Water
30,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
36,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
41,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
45,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
46,NULL,NULL,Wetland,NULL,Wetland,NULL
47,NULL,NULL,Wetland,NULL,Wetland,Grassland
48,NULL,NULL,Wetland,NULL,Wetland,Cropland
49,NULL,NULL,Wetland,NULL,Wetland,Wetland
50,NULL,NULL,Wetland,NULL,Wetland,Bareland
51,NULL,NULL,Wetland,NULL,Wetland,Water
52,NULL,NULL,Wetland,NULL,Wetland,Forest
53,NULL,NULL,Wetland,Non_Water,Wetland,NULL
54,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
55,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
56,NULL,NULL,Wetland,Non_Water,Wetland,Water
57,NULL,NULL,Wetland,Non_Water,Wetland,Forest
58,NULL,NULL,Wetland,Water,Wetland,NULL
59,NULL,NULL,Wetland,Water,Wetland,Grassland
60,NULL,NULL,Wetland,Water,Wetland,Wetland
61,NULL,NULL,Wetland,Water,Wetland,Bareland
62,NULL,NULL,Wetland,Water,Wetland,Water
63,NULL,NULL,Wetland,Water,Wetland,Forest
64,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
65,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
66,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
67,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
68,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
69,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
70,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
71,NULL,NULL,Bareland,Water,Non_Wetland,NULL
72,NULL,NULL,Bareland,Water,Non_Wetland,Water
73,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
74,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
75,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
76,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
77,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
78,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
79,NULL,NULL,Built-up,NULL,Non_Wetland,Water
80,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
81,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
82,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
83,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
84,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
85,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
86,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
87,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
88,NULL,NULL,Built-up,Water,Non_Wetland,Water
89,NULL,NULL,Water,NULL,Water,NULL
90,NULL,NULL,Water,NULL,Water,Cropland
91,NULL,NULL,Water,NULL,Water,Bareland
92,NULL,NULL,Water,NULL,Water,Water
93,NULL,NULL,Water,Non_Water,Water,NULL
94,NULL,NULL,Water,Non_Water,Water,Grassland
95,NULL,NULL,Water,Non_Water,Water,Bareland
96,NULL,NULL,Water,Non_Water,Water,Built-up
97,NULL,NULL,Water,Non_Water,Water,Water
98,NULL,NULL,Water,Water,Water,NULL
99,NULL,NULL,Water,Water,Water,Grassland
100,NULL,NULL,Water,Water,Water,Bareland
101,NULL,NULL,Water,Water,Water,Water
102,NULL,NULL,Forest,NULL,Non_Wetland,NULL
103,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
104,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
105,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
106,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
107,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
108,NULL,NULL,Forest,NULL,Non_Wetland,Water
109,NULL,NULL,Forest,NULL,Non_Wetland,Forest
110,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
111,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
112,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
113,NULL,NULL,Forest,Water,Non_Wetland,NULL
114,NULL,NULL,Forest,Water,Non_Wetland,Grassland
115,NULL,NULL,Forest,Water,Non_Wetland,Cropland
116,NULL,NULL,Forest,Water,Non_Wetland,Bareland
117,NULL,NULL,Forest,Water,Non_Wetland,Built-up
118,NULL,NULL,Forest,Water,Non_Wetland,Water
119,NULL,NULL,Forest,Water,Non_Wetland,Forest
120,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
121,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
122,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
123,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
124,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
125,NULL,Cropland,NULL,NULL,Non_Wetland,Water
