Value,AFRICA_2024_DynamicWorld_2024_36NUP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NUP_M_R,AFRICA_2024_GLC_FCS30D_2022_36NUP_M_R,AFRICA_2024_GSW_Yearly_2021_36NUP_M_R,AFRICA_2024_GWL_FCS30D_2022_36NUP_M_R,AFRICA_2024_WorldCover_2021_36NUP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
7,NULL,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,Wetland
9,NULL,NULL,NULL,Water,Non_Wetland,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
23,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
27,NULL,NULL,Shrubland,Water,Non_Wetland,Water
28,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
29,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
33,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
35,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
36,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
38,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
42,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
44,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
45,NULL,NULL,Cropland,Water,Non_Wetland,Built-up
46,NULL,NULL,Cropland,Water,Non_Wetland,Forest
47,NULL,NULL,Wetland,NULL,Wetland,Grassland
48,NULL,NULL,Wetland,NULL,Wetland,Wetland
49,NULL,NULL,Wetland,NULL,Wetland,Forest
50,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
51,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
52,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
53,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
54,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
55,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
56,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
57,NULL,NULL,Bareland,Water,Non_Wetland,Built-up
58,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
59,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
60,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
61,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
62,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
63,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
64,NULL,NULL,Water,NULL,Water,Wetland
65,NULL,NULL,Water,NULL,Water,Forest
66,NULL,NULL,Water,Non_Water,Water,Grassland
67,NULL,NULL,Water,Water,Water,Grassland
68,NULL,NULL,Water,Water,Water,Wetland
69,NULL,NULL,Water,Water,Water,Bareland
70,NULL,NULL,Water,Water,Water,Water
71,NULL,NULL,Water,Water,Water,Forest
72,NULL,NULL,Forest,NULL,Non_Wetland,NULL
73,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
74,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
75,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
76,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
77,NULL,NULL,Forest,NULL,Non_Wetland,Forest
78,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
79,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
80,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
81,NULL,NULL,Forest,Water,Non_Wetland,Grassland
82,NULL,NULL,Forest,Water,Non_Wetland,Wetland
83,NULL,NULL,Forest,Water,Non_Wetland,Forest
84,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
89,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
90,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
91,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
92,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
93,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
94,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
95,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
96,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
97,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
98,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
99,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
100,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
101,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
102,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
103,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
104,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
105,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
106,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
107,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
108,NULL,Wetland,Shrubland,Water,Non_Wetland,Built-up
109,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
110,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
111,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
112,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
113,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
114,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
115,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
116,NULL,Wetland,Wetland,NULL,Wetland,Wetland
117,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
118,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
119,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
120,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
