Value,AFRICA_2024_DynamicWorld_2024_37QEU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37QEU_M_R,AFRICA_2024_GLC_FCS30D_2022_37QEU_M_R,AFRICA_2024_GSW_Yearly_2021_37QEU_M_R,AFRICA_2024_GWL_FCS30D_2022_37QEU_M_R,AFRICA_2024_WorldCover_2021_37QEU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Water,Non_Wetland,Water
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
15,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
17,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
27,NULL,NULL,Grassland,Water,Non_Wetland,NULL
28,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
29,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
30,NULL,NULL,Grassland,Water,Non_Wetland,Water
31,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
32,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Water
37,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
42,NULL,NULL,Cropland,Water,Non_Wetland,NULL
43,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
44,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
45,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
46,NULL,NULL,Cropland,Water,Non_Wetland,Water
47,NULL,NULL,Wetland,NULL,NULL,Bareland
48,NULL,NULL,Wetland,NULL,NULL,Water
49,NULL,NULL,Wetland,NULL,Wetland,NULL
50,NULL,NULL,Wetland,NULL,Wetland,Grassland
51,NULL,NULL,Wetland,NULL,Wetland,Cropland
52,NULL,NULL,Wetland,NULL,Wetland,Wetland
53,NULL,NULL,Wetland,NULL,Wetland,Bareland
54,NULL,NULL,Wetland,NULL,Wetland,Water
55,NULL,NULL,Wetland,NULL,Wetland,Forest
56,NULL,NULL,Wetland,Non_Water,Wetland,NULL
57,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
58,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
59,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
60,NULL,NULL,Wetland,Non_Water,Wetland,Forest
61,NULL,NULL,Wetland,Water,NULL,Bareland
62,NULL,NULL,Wetland,Water,NULL,Water
63,NULL,NULL,Wetland,Water,Wetland,NULL
64,NULL,NULL,Wetland,Water,Wetland,Grassland
65,NULL,NULL,Wetland,Water,Wetland,Wetland
66,NULL,NULL,Wetland,Water,Wetland,Bareland
67,NULL,NULL,Wetland,Water,Wetland,Water
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
70,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
71,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
72,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
73,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
74,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
75,NULL,NULL,Bareland,NULL,Non_Wetland,Water
76,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
80,NULL,NULL,Bareland,Water,Non_Wetland,NULL
81,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
82,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
83,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
84,NULL,NULL,Bareland,Water,Non_Wetland,Forest
85,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
86,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
88,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
90,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
91,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
92,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
93,NULL,NULL,Built-up,Water,Non_Wetland,NULL
94,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
95,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
96,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
97,NULL,NULL,Water,NULL,NULL,NULL
98,NULL,NULL,Water,NULL,NULL,Water
99,NULL,NULL,Water,NULL,Water,Bareland
100,NULL,NULL,Water,Water,NULL,NULL
101,NULL,NULL,Water,Water,NULL,Grassland
102,NULL,NULL,Water,Water,NULL,Water
103,NULL,NULL,Forest,NULL,Non_Wetland,NULL
104,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
105,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
106,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
107,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
108,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
109,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
110,NULL,Cropland,Wetland,NULL,Wetland,Wetland
111,NULL,Cropland,Wetland,NULL,Wetland,Bareland
112,NULL,Cropland,Wetland,Water,Wetland,Bareland
113,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
114,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
115,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
116,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
117,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
118,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
119,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
120,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
121,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland
122,NULL,Wetland,Wetland,NULL,Wetland,NULL
123,NULL,Wetland,Wetland,NULL,Wetland,Grassland
