Value,AFRICA_2024_DynamicWorld_2024_37PFR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PFR_M_R,AFRICA_2024_GLC_FCS30D_2022_37PFR_M_R,AFRICA_2024_GSW_Yearly_2021_37PFR_M_R,AFRICA_2024_GWL_FCS30D_2022_37PFR_M_R,AFRICA_2024_WorldCover_2021_37PFR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
10,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
13,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
16,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
17,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
18,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
20,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
21,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
23,NULL,NULL,Wetland,NULL,Wetland,NULL
24,NULL,NULL,Wetland,NULL,Wetland,Cropland
25,NULL,NULL,Wetland,NULL,Wetland,Wetland
26,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
27,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
28,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
29,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
30,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
31,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
33,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
34,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Bareland,NULL,Non_Wetland,Water
36,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
37,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
38,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
39,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
40,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
41,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
42,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
43,NULL,NULL,Water,NULL,Water,Grassland
44,NULL,NULL,Water,NULL,Water,Bareland
45,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
46,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
47,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
48,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
49,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
50,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
51,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
52,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
53,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
54,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
55,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
56,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
57,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
58,NULL,Cropland,Wetland,NULL,Wetland,Wetland
59,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
60,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
61,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
62,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland
63,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
64,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
65,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
66,NULL,Wetland,Wetland,NULL,Wetland,NULL
67,NULL,Wetland,Wetland,NULL,Wetland,Wetland
68,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
69,NULL,Wetland,Bareland,NULL,Non_Wetland,Cropland
70,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
71,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
72,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
73,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
74,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
75,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
76,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
77,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
78,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
79,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
80,NULL,Bareland,Water,NULL,Water,Bareland
81,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
82,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
83,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
84,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
85,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
86,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
87,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
88,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
89,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
90,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
91,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
92,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
93,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
94,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
95,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
96,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
97,NULL,Water,Grassland,NULL,Non_Wetland,NULL
98,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
99,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
100,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
101,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
102,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
103,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
104,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
105,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
106,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
107,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
108,NULL,Forest,Wetland,NULL,Wetland,NULL
109,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
110,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
111,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
112,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
113,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
114,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
115,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
116,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
117,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
118,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
