Value,AFRICA_2024_DynamicWorld_2024_37NBJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NBJ_M_R,AFRICA_2024_GLC_FCS30D_2022_37NBJ_M_R,AFRICA_2024_GSW_Yearly_2021_37NBJ_M_R,AFRICA_2024_GWL_FCS30D_2022_37NBJ_M_R,AFRICA_2024_WorldCover_2021_37NBJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
24,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
25,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
27,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
28,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
30,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
31,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
32,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
33,NULL,NULL,Cropland,Water,Non_Wetland,NULL
34,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
35,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
36,NULL,NULL,Wetland,NULL,Wetland,NULL
37,NULL,NULL,Wetland,NULL,Wetland,Cropland
38,NULL,NULL,Wetland,NULL,Wetland,Forest
39,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
40,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
41,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
42,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
43,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
44,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
45,NULL,NULL,Bareland,NULL,Non_Wetland,Water
46,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
47,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
48,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
49,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
50,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
51,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
52,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
53,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
54,NULL,NULL,Forest,NULL,Non_Wetland,NULL
55,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
56,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
57,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
58,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
59,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
60,NULL,NULL,Forest,NULL,Non_Wetland,Forest
61,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
62,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
63,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
64,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
65,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
66,NULL,NULL,Forest,Water,Non_Wetland,NULL
67,NULL,NULL,Forest,Water,Non_Wetland,Grassland
68,NULL,NULL,Forest,Water,Non_Wetland,Cropland
69,NULL,NULL,Forest,Water,Non_Wetland,Forest
70,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
71,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
72,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
73,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
74,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
75,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
76,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
77,NULL,Cropland,NULL,Water,Non_Wetland,Grassland
78,NULL,Cropland,NULL,Water,Non_Wetland,Cropland
79,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
80,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
81,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
82,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
83,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
84,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
86,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
87,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
88,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
89,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
90,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
91,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
92,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
93,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
94,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
95,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
96,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
97,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
98,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
99,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
100,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
101,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
102,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
103,NULL,Cropland,Wetland,NULL,Wetland,Grassland
104,NULL,Cropland,Wetland,NULL,Wetland,Cropland
105,NULL,Cropland,Wetland,NULL,Wetland,Wetland
106,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
107,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
108,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
109,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
110,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
111,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
112,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
113,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
114,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
115,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
116,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
117,NULL,Cropland,Bareland,Water,Non_Wetland,Water
118,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
