Value,AFRICA_2024_DynamicWorld_2024_37NCJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NCJ_M_R,AFRICA_2024_GLC_FCS30D_2022_37NCJ_M_R,AFRICA_2024_GSW_Yearly_2021_37NCJ_M_R,AFRICA_2024_GWL_FCS30D_2022_37NCJ_M_R,AFRICA_2024_WorldCover_2021_37NCJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,Cropland
11,NULL,NULL,NULL,Water,Non_Wetland,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
23,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
24,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Water
28,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
30,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
34,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
36,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
37,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
39,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
44,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
47,NULL,NULL,Cropland,Water,Non_Wetland,NULL
48,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
49,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
50,NULL,NULL,Cropland,Water,Non_Wetland,Forest
51,NULL,NULL,Wetland,NULL,Wetland,NULL
52,NULL,NULL,Wetland,NULL,Wetland,Grassland
53,NULL,NULL,Wetland,NULL,Wetland,Cropland
54,NULL,NULL,Wetland,NULL,Wetland,Forest
55,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
56,NULL,NULL,Wetland,Water,Wetland,Grassland
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
58,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
59,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
60,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
61,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
62,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
63,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
64,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
65,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
66,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
67,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
68,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
69,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
70,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
71,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
72,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
73,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
74,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
75,NULL,NULL,Bareland,Water,Non_Wetland,Water
76,NULL,NULL,Bareland,Water,Non_Wetland,Forest
77,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
78,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
79,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
80,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
81,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
82,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
83,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
84,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
85,NULL,NULL,Water,NULL,Water,NULL
86,NULL,NULL,Water,NULL,Water,Grassland
87,NULL,NULL,Water,NULL,Water,Cropland
88,NULL,NULL,Water,NULL,Water,Forest
89,NULL,NULL,Water,Water,Water,Grassland
90,NULL,NULL,Water,Water,Water,Cropland
91,NULL,NULL,Water,Water,Water,Forest
92,NULL,NULL,Forest,NULL,Non_Wetland,NULL
93,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
94,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
95,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
96,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
97,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
98,NULL,NULL,Forest,NULL,Non_Wetland,Forest
99,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
100,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
101,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
102,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
103,NULL,NULL,Forest,Water,Non_Wetland,NULL
104,NULL,NULL,Forest,Water,Non_Wetland,Grassland
105,NULL,NULL,Forest,Water,Non_Wetland,Cropland
106,NULL,NULL,Forest,Water,Non_Wetland,Wetland
107,NULL,NULL,Forest,Water,Non_Wetland,Bareland
108,NULL,NULL,Forest,Water,Non_Wetland,Water
109,NULL,NULL,Forest,Water,Non_Wetland,Forest
110,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
111,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
112,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
113,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
114,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
115,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
116,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
117,NULL,Cropland,NULL,Water,Non_Wetland,Grassland
118,NULL,Cropland,NULL,Water,Non_Wetland,Cropland
119,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
120,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
121,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
