Value,AFRICA_2024_DynamicWorld_2024_36NUM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NUM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NUM_M_R,AFRICA_2024_GSW_Yearly_2021_36NUM_M_R,AFRICA_2024_GWL_FCS30D_2022_36NUM_M_R,AFRICA_2024_WorldCover_2021_36NUM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
22,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
30,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
33,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
36,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
40,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
43,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
44,NULL,NULL,Wetland,NULL,Wetland,Grassland
45,NULL,NULL,Wetland,NULL,Wetland,Wetland
46,NULL,NULL,Wetland,NULL,Wetland,Built-up
47,NULL,NULL,Wetland,NULL,Wetland,Forest
48,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
49,NULL,NULL,Wetland,Water,Wetland,Wetland
50,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
51,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
52,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
53,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
54,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
55,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
56,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
57,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
58,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
59,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
60,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
61,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
62,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
63,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
64,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
65,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
66,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
67,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
68,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
69,NULL,NULL,Forest,NULL,Non_Wetland,NULL
70,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
71,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
72,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
73,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
74,NULL,NULL,Forest,NULL,Non_Wetland,Forest
75,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
76,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
77,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
78,NULL,NULL,Forest,Water,Non_Wetland,Wetland
79,NULL,NULL,Forest,Water,Non_Wetland,Bareland
80,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
81,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
82,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
83,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
84,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
86,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
87,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
88,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
89,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
90,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
91,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
92,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
93,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
94,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
95,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland
96,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
97,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
98,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
99,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
100,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
101,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
102,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
103,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
104,NULL,Wetland,NULL,NULL,Non_Wetland,Built-up
105,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
106,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
107,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
108,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
109,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
110,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
111,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
112,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
113,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
114,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
115,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
116,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
117,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
118,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
