Value,AFRICA_2024_DynamicWorld_2024_38NLM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NLM_M_R,AFRICA_2024_GLC_FCS30D_2022_38NLM_M_R,AFRICA_2024_GSW_Yearly_2021_38NLM_M_R,AFRICA_2024_GWL_FCS30D_2022_38NLM_M_R,AFRICA_2024_WorldCover_2021_38NLM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
30,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
37,NULL,NULL,Grassland,Water,Non_Wetland,NULL
38,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
40,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
41,NULL,NULL,Grassland,Water,Non_Wetland,Forest
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
43,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
53,NULL,NULL,Cropland,Water,Non_Wetland,NULL
54,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
55,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
56,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
57,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
58,NULL,NULL,Cropland,Water,Non_Wetland,Forest
59,NULL,NULL,Wetland,NULL,Wetland,NULL
60,NULL,NULL,Wetland,NULL,Wetland,Grassland
61,NULL,NULL,Wetland,NULL,Wetland,Cropland
62,NULL,NULL,Wetland,NULL,Wetland,Wetland
63,NULL,NULL,Wetland,NULL,Wetland,Bareland
64,NULL,NULL,Wetland,NULL,Wetland,Water
65,NULL,NULL,Wetland,NULL,Wetland,Forest
66,NULL,NULL,Wetland,Non_Water,Wetland,NULL
67,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
68,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
69,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
70,NULL,NULL,Wetland,Water,Wetland,Grassland
71,NULL,NULL,Wetland,Water,Wetland,Cropland
72,NULL,NULL,Wetland,Water,Wetland,Wetland
73,NULL,NULL,Wetland,Water,Wetland,Bareland
74,NULL,NULL,Wetland,Water,Wetland,Water
75,NULL,NULL,Wetland,Water,Wetland,Forest
76,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
77,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
78,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
79,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
80,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
81,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
82,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
83,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
84,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
85,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
86,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
87,NULL,NULL,Bareland,NULL,Non_Wetland,Water
88,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
92,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
93,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
94,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
95,NULL,NULL,Bareland,Water,Non_Wetland,Water
96,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
97,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
98,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
99,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
100,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
101,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
102,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
103,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
104,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
105,NULL,NULL,Water,NULL,Water,NULL
106,NULL,NULL,Water,NULL,Water,Grassland
107,NULL,NULL,Water,NULL,Water,Cropland
108,NULL,NULL,Water,NULL,Water,Wetland
109,NULL,NULL,Water,NULL,Water,Bareland
110,NULL,NULL,Water,NULL,Water,Water
111,NULL,NULL,Water,NULL,Water,Forest
112,NULL,NULL,Water,Non_Water,Water,Cropland
113,NULL,NULL,Water,Non_Water,Water,Bareland
114,NULL,NULL,Water,Non_Water,Water,Forest
115,NULL,NULL,Water,Water,Water,Grassland
116,NULL,NULL,Water,Water,Water,Wetland
117,NULL,NULL,Water,Water,Water,Bareland
118,NULL,NULL,Water,Water,Water,Water
119,NULL,NULL,Forest,NULL,Non_Wetland,NULL
120,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
121,NULL,NULL,Forest,NULL,Non_Wetland,Forest
122,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
123,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
