Value,AFRICA_2024_DynamicWorld_2024_36PXA_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PXA_M_R,AFRICA_2024_GLC_FCS30D_2022_36PXA_M_R,AFRICA_2024_GSW_Yearly_2021_36PXA_M_R,AFRICA_2024_GWL_FCS30D_2022_36PXA_M_R,AFRICA_2024_WorldCover_2021_36PXA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,NULL,Water,Non_Wetland,NULL
12,NULL,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,NULL,Water,Non_Wetland,Cropland
14,NULL,NULL,NULL,Water,Non_Wetland,Wetland
15,NULL,NULL,NULL,Water,Non_Wetland,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
28,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
29,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
31,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
32,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
33,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
35,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
39,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
44,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
45,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
46,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
48,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
49,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
50,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
51,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
52,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
53,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
61,NULL,NULL,Cropland,Water,Non_Wetland,NULL
62,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
63,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
64,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
65,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
66,NULL,NULL,Cropland,Water,Non_Wetland,Water
67,NULL,NULL,Cropland,Water,Non_Wetland,Forest
68,NULL,NULL,Wetland,NULL,Wetland,NULL
69,NULL,NULL,Wetland,NULL,Wetland,Grassland
70,NULL,NULL,Wetland,NULL,Wetland,Cropland
71,NULL,NULL,Wetland,NULL,Wetland,Wetland
72,NULL,NULL,Wetland,NULL,Wetland,Forest
73,NULL,NULL,Wetland,Non_Water,Wetland,NULL
74,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
75,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
76,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
77,NULL,NULL,Wetland,Non_Water,Wetland,Forest
78,NULL,NULL,Wetland,Water,Wetland,Grassland
79,NULL,NULL,Wetland,Water,Wetland,Cropland
80,NULL,NULL,Wetland,Water,Wetland,Wetland
81,NULL,NULL,Wetland,Water,Wetland,Forest
82,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
83,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
84,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
85,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
86,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
87,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
88,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
91,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
92,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
93,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
94,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
95,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
96,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
97,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
98,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
99,NULL,NULL,Water,NULL,Water,Grassland
100,NULL,NULL,Water,Non_Water,Water,Cropland
101,NULL,NULL,Water,Non_Water,Water,Forest
102,NULL,NULL,Water,Water,Water,Grassland
103,NULL,NULL,Water,Water,Water,Cropland
104,NULL,NULL,Water,Water,Water,Wetland
105,NULL,NULL,Forest,NULL,Non_Wetland,NULL
106,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
107,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
108,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
109,NULL,NULL,Forest,NULL,Non_Wetland,Forest
110,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
111,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
112,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
113,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
114,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
115,NULL,NULL,Forest,Water,Non_Wetland,NULL
116,NULL,NULL,Forest,Water,Non_Wetland,Grassland
117,NULL,NULL,Forest,Water,Non_Wetland,Cropland
118,NULL,NULL,Forest,Water,Non_Wetland,Wetland
119,NULL,NULL,Forest,Water,Non_Wetland,Forest
120,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
121,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
122,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
