Value,AFRICA_2024_DynamicWorld_2024_37QFU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37QFU_M_R,AFRICA_2024_GLC_FCS30D_2022_37QFU_M_R,AFRICA_2024_GSW_Yearly_2021_37QFU_M_R,AFRICA_2024_GWL_FCS30D_2022_37QFU_M_R,AFRICA_2024_WorldCover_2021_37QFU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Water
2,NULL,NULL,NULL,Water,Non_Wetland,Water
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
4,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
5,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
6,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
8,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
9,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
11,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Cropland,Water,Non_Wetland,NULL
13,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
14,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
15,NULL,NULL,Cropland,Water,Non_Wetland,Forest
16,NULL,NULL,Wetland,NULL,Wetland,NULL
17,NULL,NULL,Wetland,NULL,Wetland,Grassland
18,NULL,NULL,Wetland,NULL,Wetland,Wetland
19,NULL,NULL,Wetland,NULL,Wetland,Bareland
20,NULL,NULL,Wetland,NULL,Wetland,Forest
21,NULL,NULL,Wetland,Non_Water,Wetland,NULL
22,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
23,NULL,NULL,Wetland,Non_Water,Wetland,Forest
24,NULL,NULL,Wetland,Water,Wetland,NULL
25,NULL,NULL,Wetland,Water,Wetland,Grassland
26,NULL,NULL,Wetland,Water,Wetland,Wetland
27,NULL,NULL,Wetland,Water,Wetland,Bareland
28,NULL,NULL,Wetland,Water,Wetland,Water
29,NULL,NULL,Wetland,Water,Wetland,Forest
30,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
31,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
32,NULL,NULL,Bareland,NULL,Non_Wetland,Water
33,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
34,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
35,NULL,NULL,Bareland,Water,Non_Wetland,Water
36,NULL,NULL,Water,NULL,NULL,NULL
37,NULL,NULL,Water,NULL,NULL,Water
38,NULL,NULL,Water,Water,NULL,Water
39,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
