Value,AFRICA_2024_DynamicWorld_2024_37NFJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NFJ_M_R,AFRICA_2024_GLC_FCS30D_2022_37NFJ_M_R,AFRICA_2024_GSW_Yearly_2021_37NFJ_M_R,AFRICA_2024_GWL_FCS30D_2022_37NFJ_M_R,AFRICA_2024_WorldCover_2021_37NFJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
23,NULL,NULL,Grassland,NULL,Non_Wetland,Water
24,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
27,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
28,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
29,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
34,NULL,NULL,Cropland,NULL,Non_Wetland,Water
35,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
40,NULL,NULL,Cropland,Water,Non_Wetland,NULL
41,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
42,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
43,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
44,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
45,NULL,NULL,Cropland,Water,Non_Wetland,Water
46,NULL,NULL,Wetland,NULL,Wetland,NULL
47,NULL,NULL,Wetland,NULL,Wetland,Grassland
48,NULL,NULL,Wetland,NULL,Wetland,Cropland
49,NULL,NULL,Wetland,NULL,Wetland,Bareland
50,NULL,NULL,Wetland,NULL,Wetland,Forest
51,NULL,NULL,Wetland,Water,Wetland,Grassland
52,NULL,NULL,Wetland,Water,Wetland,Cropland
53,NULL,NULL,Wetland,Water,Wetland,Bareland
54,NULL,NULL,Wetland,Water,Wetland,Water
55,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
58,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
59,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
60,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
61,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
62,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
63,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
64,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
65,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
66,NULL,NULL,Bareland,NULL,Non_Wetland,Water
67,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
68,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
69,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
70,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
71,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
72,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
73,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
74,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
75,NULL,NULL,Bareland,Water,Non_Wetland,Water
76,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
77,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
78,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
79,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
80,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
81,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
82,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
83,NULL,NULL,Water,NULL,Water,NULL
84,NULL,NULL,Water,NULL,Water,Grassland
85,NULL,NULL,Water,NULL,Water,Cropland
86,NULL,NULL,Water,NULL,Water,Bareland
87,NULL,NULL,Water,NULL,Water,Water
88,NULL,NULL,Water,NULL,Water,Forest
89,NULL,NULL,Water,Non_Water,Water,Grassland
90,NULL,NULL,Water,Non_Water,Water,Cropland
91,NULL,NULL,Water,Water,Water,Cropland
92,NULL,NULL,Water,Water,Water,Bareland
93,NULL,NULL,Water,Water,Water,Water
94,NULL,NULL,Forest,NULL,Non_Wetland,NULL
95,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
96,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
97,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
98,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
99,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
100,NULL,NULL,Forest,NULL,Non_Wetland,Water
101,NULL,NULL,Forest,NULL,Non_Wetland,Forest
102,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
103,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
104,NULL,NULL,Forest,Water,Non_Wetland,Grassland
105,NULL,NULL,Forest,Water,Non_Wetland,Forest
106,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
107,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
108,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
109,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
110,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
111,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
112,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
113,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
114,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
116,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
117,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
118,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
119,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
120,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
121,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
122,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
