Value,AFRICA_2024_DynamicWorld_2024_37PFS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PFS_M_R,AFRICA_2024_GLC_FCS30D_2022_37PFS_M_R,AFRICA_2024_GSW_Yearly_2021_37PFS_M_R,AFRICA_2024_GWL_FCS30D_2022_37PFS_M_R,AFRICA_2024_WorldCover_2021_37PFS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
9,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
10,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
14,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
15,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
16,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
17,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
18,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
19,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
20,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
21,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
22,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
23,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
24,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
25,NULL,NULL,Cropland,Water,Non_Wetland,NULL
26,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
27,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
28,NULL,NULL,Wetland,NULL,Wetland,NULL
29,NULL,NULL,Wetland,NULL,Wetland,Bareland
30,NULL,NULL,Wetland,NULL,Wetland,Forest
31,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
32,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
33,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
34,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
35,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
36,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
37,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
38,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
39,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
40,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
41,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
42,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
43,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
44,NULL,NULL,Forest,NULL,Non_Wetland,NULL
45,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
46,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
47,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
48,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
49,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
50,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
51,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
52,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
53,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
54,NULL,Cropland,Wetland,NULL,Wetland,Forest
55,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
56,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
57,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
58,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
59,NULL,Wetland,Wetland,NULL,Wetland,Bareland
60,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
61,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
62,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
63,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
64,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
65,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
66,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
67,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
68,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
69,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
70,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
71,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
72,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
73,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
74,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
75,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
76,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
77,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
78,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
79,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
80,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
81,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
82,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
83,NULL,Water,Grassland,NULL,Non_Wetland,NULL
84,NULL,Water,Wetland,NULL,Wetland,Wetland
85,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
86,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
87,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
88,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
89,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
90,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
91,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
92,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
93,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
94,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
95,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
96,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
97,Grassland,NULL,Wetland,NULL,Wetland,Wetland
98,Grassland,NULL,Wetland,Water,Wetland,Wetland
99,Grassland,Water,Wetland,NULL,Wetland,Wetland
100,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
101,Grassland,Water,Wetland,Non_Water,Wetland,Water
102,Grassland,Water,Wetland,Water,Wetland,Wetland
103,Grassland,Water,Wetland,Water,Wetland,Water
104,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
105,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
106,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
107,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
108,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
109,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
110,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
111,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
112,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
113,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
114,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
115,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
116,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
117,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
118,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
119,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
120,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
121,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
122,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
123,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
124,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
125,Cropland,NULL,Wetland,NULL,Wetland,NULL
126,Cropland,NULL,Wetland,NULL,Wetland,Forest
127,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
128,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
129,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
130,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
131,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
132,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
133,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
134,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
135,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
136,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
137,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
138,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
139,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
140,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
141,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
142,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
143,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
144,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
145,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
146,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
147,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
148,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
149,Cropland,Cropland,Wetland,NULL,Wetland,Forest
150,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
151,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
152,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
153,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
154,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
155,Cropland,Wetland,Bareland,NULL,Non_Wetland,NULL
156,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
157,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
158,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
159,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
160,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL
161,Cropland,Bareland,Bareland,NULL,Non_Wetland,Cropland
162,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
163,Cropland,Bareland,Built-up,NULL,Non_Wetland,Cropland
164,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
165,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
166,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
167,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
168,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
169,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
170,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
171,Cropland,Forest,Wetland,NULL,Wetland,Cropland
172,Cropland,Forest,Wetland,NULL,Wetland,Forest
173,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL
174,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
175,Wetland,NULL,NULL,NULL,Non_Wetland,Cropland
176,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
177,Wetland,NULL,Shrubland,NULL,Non_Wetland,Cropland
178,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
179,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland
180,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
181,Wetland,NULL,Grassland,NULL,Non_Wetland,Cropland
182,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland
183,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
184,Wetland,NULL,Grassland,NULL,Non_Wetland,Water
185,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
186,Wetland,NULL,Grassland,Water,Non_Wetland,NULL
187,Wetland,NULL,Grassland,Water,Non_Wetland,Wetland
188,Wetland,NULL,Grassland,Water,Non_Wetland,Bareland
189,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
190,Wetland,NULL,Cropland,NULL,Non_Wetland,Cropland
191,Wetland,NULL,Cropland,NULL,Non_Wetland,Wetland
192,Wetland,NULL,Cropland,NULL,Non_Wetland,Bareland
193,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
194,Wetland,NULL,Cropland,Non_Water,Non_Wetland,NULL
195,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
196,Wetland,NULL,Cropland,Water,Non_Wetland,Wetland
197,Wetland,NULL,Cropland,Water,Non_Wetland,Water
198,Wetland,NULL,Wetland,NULL,NULL,Cropland
199,Wetland,NULL,Wetland,NULL,NULL,Water
200,Wetland,NULL,Wetland,NULL,Wetland,NULL
201,Wetland,NULL,Wetland,NULL,Wetland,Grassland
202,Wetland,NULL,Wetland,NULL,Wetland,Wetland
203,Wetland,NULL,Wetland,NULL,Wetland,Bareland
204,Wetland,NULL,Wetland,NULL,Wetland,Water
205,Wetland,NULL,Wetland,Non_Water,Wetland,NULL
206,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
207,Wetland,NULL,Wetland,Non_Water,Wetland,Water
208,Wetland,NULL,Wetland,Water,Wetland,Wetland
209,Wetland,NULL,Wetland,Water,Wetland,Bareland
210,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
211,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
212,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
213,Wetland,NULL,Bareland,NULL,Non_Wetland,Cropland
214,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
215,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland
216,Wetland,NULL,Bareland,NULL,Non_Wetland,Water
217,Wetland,NULL,Bareland,Non_Water,Non_Wetland,NULL
218,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
219,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
220,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
221,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Water
222,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland
223,Wetland,NULL,Bareland,Water,Non_Wetland,Bareland
224,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL
225,Wetland,NULL,Built-up,NULL,Non_Wetland,Cropland
226,Wetland,NULL,Built-up,NULL,Non_Wetland,Wetland
227,Wetland,NULL,Built-up,NULL,Non_Wetland,Bareland
228,Wetland,NULL,Built-up,Water,Non_Wetland,Wetland
229,Wetland,Cropland,Cropland,NULL,Non_Wetland,Wetland
230,Wetland,Cropland,Cropland,NULL,Non_Wetland,Bareland
231,Wetland,Cropland,Wetland,NULL,Wetland,NULL
232,Wetland,Cropland,Wetland,NULL,Wetland,Wetland
233,Wetland,Cropland,Wetland,NULL,Wetland,Bareland
234,Wetland,Cropland,Wetland,Non_Water,Wetland,Wetland
235,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
