Value,AFRICA_2024_DynamicWorld_2024_36PUA_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PUA_M_R,AFRICA_2024_GLC_FCS30D_2022_36PUA_M_R,AFRICA_2024_GSW_Yearly_2021_36PUA_M_R,AFRICA_2024_GWL_FCS30D_2022_36PUA_M_R,AFRICA_2024_WorldCover_2021_36PUA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
17,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
21,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
28,NULL,NULL,Grassland,Water,Non_Wetland,NULL
29,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
30,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
31,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
32,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
33,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
34,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
42,NULL,NULL,Cropland,Water,Non_Wetland,NULL
43,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
44,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
45,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
46,NULL,NULL,Cropland,Water,Non_Wetland,Forest
47,NULL,NULL,Wetland,NULL,Wetland,NULL
48,NULL,NULL,Wetland,NULL,Wetland,Forest
49,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
50,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
51,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
52,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
53,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
54,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
56,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
57,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
58,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
59,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
60,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
61,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
62,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
63,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
64,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
65,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
66,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
67,NULL,NULL,Forest,NULL,Non_Wetland,NULL
68,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
69,NULL,NULL,Forest,NULL,Non_Wetland,Forest
70,NULL,NULL,Forest,Water,Non_Wetland,NULL
71,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
72,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
73,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
74,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
75,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
76,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
77,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
78,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
79,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
80,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
81,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
82,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
83,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
84,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
85,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
86,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
87,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
88,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
89,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
90,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
91,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
92,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
93,NULL,Cropland,Wetland,NULL,Wetland,Forest
94,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
95,NULL,Wetland,NULL,Non_Water,Non_Wetland,Cropland
96,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
97,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
98,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
99,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland
100,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Cropland
101,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
102,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
103,NULL,Wetland,Wetland,NULL,Wetland,Grassland
104,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
105,NULL,Wetland,Wetland,Non_Water,Wetland,Cropland
106,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
107,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
108,NULL,Wetland,Forest,Non_Water,Non_Wetland,Cropland
109,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
110,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
111,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
112,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
113,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
114,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
115,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
116,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
117,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
118,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
