Value,AFRICA_2024_DynamicWorld_2024_35NNF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NNF_M_R,AFRICA_2024_GLC_FCS30D_2022_35NNF_M_R,AFRICA_2024_GSW_Yearly_2021_35NNF_M_R,AFRICA_2024_GWL_FCS30D_2022_35NNF_M_R,AFRICA_2024_WorldCover_2021_35NNF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
10,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
11,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
14,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
15,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
17,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
19,NULL,NULL,Wetland,NULL,Wetland,NULL
20,NULL,NULL,Wetland,NULL,Wetland,Grassland
21,NULL,NULL,Wetland,NULL,Wetland,Wetland
22,NULL,NULL,Wetland,NULL,Wetland,Forest
23,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
25,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
26,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
27,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
28,NULL,NULL,Forest,NULL,Non_Wetland,NULL
29,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
30,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
31,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
32,NULL,NULL,Forest,NULL,Non_Wetland,Forest
33,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
34,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
35,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
36,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
37,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
38,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
39,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
40,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
41,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
42,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
43,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
44,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
45,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
46,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
47,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
48,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
49,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
50,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
51,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
52,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
53,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
54,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
55,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
56,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
57,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
58,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
59,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
60,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
61,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
62,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
63,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
64,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
65,NULL,Forest,NULL,NULL,Non_Wetland,NULL
66,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
67,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
68,NULL,Forest,NULL,NULL,Non_Wetland,Forest
69,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
70,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
71,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
72,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
73,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
74,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
75,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
76,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
77,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
78,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
79,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
80,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
81,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
82,NULL,Forest,Forest,NULL,Non_Wetland,NULL
83,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
84,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
85,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
86,NULL,Forest,Forest,NULL,Non_Wetland,Forest
87,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
88,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
89,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
90,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
91,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
92,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
93,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
94,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
95,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
96,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
97,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
98,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
99,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
100,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
101,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
102,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
103,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
104,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
105,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
106,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
107,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
108,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
109,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
110,Grassland,Wetland,Cropland,NULL,Non_Wetland,Forest
111,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
112,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
113,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
114,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
115,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
116,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
117,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
118,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
119,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
