Value,AFRICA_2024_DynamicWorld_2024_36NTL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NTL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NTL_M_R,AFRICA_2024_GSW_Yearly_2021_36NTL_M_R,AFRICA_2024_GWL_FCS30D_2022_36NTL_M_R,AFRICA_2024_WorldCover_2021_36NTL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
22,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
23,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
26,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
29,NULL,NULL,Wetland,NULL,Wetland,NULL
30,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
31,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
32,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
33,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
34,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
35,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
36,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
37,NULL,NULL,Water,Water,Water,Grassland
38,NULL,NULL,Forest,NULL,Non_Wetland,NULL
39,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
40,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
41,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
42,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
43,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
44,NULL,NULL,Forest,NULL,Non_Wetland,Forest
45,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
46,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
47,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
48,NULL,NULL,Forest,Water,Non_Wetland,Grassland
49,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
50,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
51,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
52,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
53,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
54,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
55,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
56,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
57,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
58,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
59,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
60,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
61,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
62,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
63,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
64,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
65,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
66,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
67,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
68,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
69,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
70,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
71,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
72,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
73,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
74,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
75,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
76,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
77,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
78,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
79,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
80,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
81,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
82,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
83,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
84,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
85,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
86,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
87,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
88,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
89,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
90,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
91,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
92,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
93,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
94,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
95,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
96,NULL,Water,NULL,NULL,Non_Wetland,Grassland
97,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
98,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
99,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
100,NULL,Water,Shrubland,Water,Non_Wetland,Forest
101,NULL,Water,Wetland,NULL,Wetland,Forest
102,NULL,Water,Bareland,NULL,Non_Wetland,NULL
103,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
104,NULL,Water,Forest,NULL,Non_Wetland,NULL
105,NULL,Water,Forest,NULL,Non_Wetland,Grassland
106,NULL,Water,Forest,NULL,Non_Wetland,Forest
107,NULL,Water,Forest,Water,Non_Wetland,Grassland
108,NULL,Forest,NULL,NULL,Non_Wetland,NULL
109,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
110,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
111,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
112,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
113,NULL,Forest,NULL,NULL,Non_Wetland,Forest
114,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
115,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
116,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
117,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
118,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
119,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
120,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
