Value,AFRICA_2024_DynamicWorld_2024_35PML_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PML_M_R,AFRICA_2024_GLC_FCS30D_2022_35PML_M_R,AFRICA_2024_GSW_Yearly_2021_35PML_M_R,AFRICA_2024_GWL_FCS30D_2022_35PML_M_R,AFRICA_2024_WorldCover_2021_35PML_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
12,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
13,NULL,NULL,NULL,Non_Water,Non_Wetland,Water
14,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
15,NULL,NULL,NULL,Water,Non_Wetland,Grassland
16,NULL,NULL,NULL,Water,Non_Wetland,Cropland
17,NULL,NULL,NULL,Water,Non_Wetland,Wetland
18,NULL,NULL,NULL,Water,Non_Wetland,Bareland
19,NULL,NULL,NULL,Water,Non_Wetland,Water
20,NULL,NULL,NULL,Water,Non_Wetland,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
35,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
37,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
38,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
39,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
40,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
41,NULL,NULL,Shrubland,Water,Non_Wetland,Water
42,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
44,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
45,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
46,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
47,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
48,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
49,NULL,NULL,Grassland,NULL,Non_Wetland,Water
50,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
53,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
54,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
55,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
56,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
57,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
58,NULL,NULL,Grassland,Water,Non_Wetland,NULL
59,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
60,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
61,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
62,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
63,NULL,NULL,Grassland,Water,Non_Wetland,Water
64,NULL,NULL,Grassland,Water,Non_Wetland,Forest
65,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
66,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
67,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
68,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
69,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
70,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
71,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
72,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
73,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
74,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
75,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
76,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
77,NULL,NULL,Cropland,Water,Non_Wetland,Water
78,NULL,NULL,Cropland,Water,Non_Wetland,Forest
79,NULL,NULL,Wetland,NULL,Wetland,NULL
80,NULL,NULL,Wetland,NULL,Wetland,Grassland
81,NULL,NULL,Wetland,NULL,Wetland,Cropland
82,NULL,NULL,Wetland,NULL,Wetland,Wetland
83,NULL,NULL,Wetland,NULL,Wetland,Water
84,NULL,NULL,Wetland,NULL,Wetland,Forest
85,NULL,NULL,Wetland,Non_Water,Wetland,NULL
86,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
87,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
88,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
89,NULL,NULL,Wetland,Non_Water,Wetland,Water
90,NULL,NULL,Wetland,Non_Water,Wetland,Forest
91,NULL,NULL,Wetland,Water,Wetland,NULL
92,NULL,NULL,Wetland,Water,Wetland,Grassland
93,NULL,NULL,Wetland,Water,Wetland,Wetland
94,NULL,NULL,Wetland,Water,Wetland,Forest
95,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
96,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
97,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
98,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
99,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
100,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
101,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Cropland
102,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
103,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
104,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
105,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
106,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
107,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
108,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
109,NULL,NULL,Bareland,NULL,Non_Wetland,Water
110,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
111,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
112,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
113,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
114,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
115,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
116,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
117,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
118,NULL,NULL,Bareland,Water,Non_Wetland,Water
119,NULL,NULL,Bareland,Water,Non_Wetland,Forest
