Value,AFRICA_2024_DynamicWorld_2024_38NKN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NKN_M_R,AFRICA_2024_GLC_FCS30D_2022_38NKN_M_R,AFRICA_2024_GSW_Yearly_2021_38NKN_M_R,AFRICA_2024_GWL_FCS30D_2022_38NKN_M_R,AFRICA_2024_WorldCover_2021_38NKN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
14,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Grassland,NULL,Non_Wetland,Water
19,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
24,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
25,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
26,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
27,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
28,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
33,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
37,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
38,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
39,NULL,NULL,Cropland,Water,Non_Wetland,Forest
40,NULL,NULL,Wetland,NULL,Wetland,NULL
41,NULL,NULL,Wetland,NULL,Wetland,Grassland
42,NULL,NULL,Wetland,NULL,Wetland,Cropland
43,NULL,NULL,Wetland,NULL,Wetland,Bareland
44,NULL,NULL,Wetland,NULL,Wetland,Forest
45,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
46,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
47,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
48,NULL,NULL,Wetland,Water,Wetland,Grassland
49,NULL,NULL,Wetland,Water,Wetland,Cropland
50,NULL,NULL,Wetland,Water,Wetland,Bareland
51,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
52,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
53,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
55,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL
56,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
57,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
59,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
60,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
61,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
62,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
63,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
64,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
65,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
66,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
67,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
68,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
69,NULL,NULL,Water,NULL,Water,Cropland
70,NULL,NULL,Water,NULL,Water,Bareland
71,NULL,NULL,Water,NULL,Water,Forest
72,NULL,NULL,Water,Non_Water,Water,Cropland
73,NULL,NULL,Water,Water,Water,Grassland
74,NULL,NULL,Water,Water,Water,Bareland
75,NULL,NULL,Forest,NULL,Non_Wetland,NULL
76,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
77,NULL,NULL,Forest,NULL,Non_Wetland,Water
78,NULL,NULL,Forest,NULL,Non_Wetland,Forest
79,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
80,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
81,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
82,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
83,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
84,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
87,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
88,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
89,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
90,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
91,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
92,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
93,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
94,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
95,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
96,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
97,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
98,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
99,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
100,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
101,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
102,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
103,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
104,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
105,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
106,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
107,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
108,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
109,NULL,Cropland,Wetland,NULL,Wetland,Grassland
110,NULL,Cropland,Wetland,NULL,Wetland,Cropland
111,NULL,Cropland,Wetland,NULL,Wetland,Bareland
112,NULL,Cropland,Wetland,NULL,Wetland,Forest
113,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
114,NULL,Cropland,Wetland,Non_Water,Wetland,Cropland
115,NULL,Cropland,Wetland,Non_Water,Wetland,Bareland
116,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
117,NULL,Cropland,Wetland,Water,Wetland,Grassland
118,NULL,Cropland,Wetland,Water,Wetland,Cropland
119,NULL,Cropland,Wetland,Water,Wetland,Bareland
120,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
