Value,AFRICA_2024_DynamicWorld_2024_36NTJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NTJ_M_R,AFRICA_2024_GLC_FCS30D_2022_36NTJ_M_R,AFRICA_2024_GSW_Yearly_2021_36NTJ_M_R,AFRICA_2024_GWL_FCS30D_2022_36NTJ_M_R,AFRICA_2024_WorldCover_2021_36NTJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
22,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
23,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
24,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
26,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
27,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
28,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
29,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
30,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
31,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
32,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
33,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
34,NULL,NULL,Wetland,NULL,Wetland,NULL
35,NULL,NULL,Wetland,NULL,Wetland,Grassland
36,NULL,NULL,Wetland,NULL,Wetland,Wetland
37,NULL,NULL,Wetland,NULL,Wetland,Forest
38,NULL,NULL,Wetland,Non_Water,Wetland,NULL
39,NULL,NULL,Wetland,Non_Water,Wetland,Forest
40,NULL,NULL,Wetland,Water,Wetland,NULL
41,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
42,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
43,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
44,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
45,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
46,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
47,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
48,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
49,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
50,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
51,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
52,NULL,NULL,Forest,NULL,Non_Wetland,NULL
53,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
54,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
55,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
56,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
57,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
58,NULL,NULL,Forest,NULL,Non_Wetland,Forest
59,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
60,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
61,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
62,NULL,NULL,Forest,Water,Non_Wetland,NULL
63,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
64,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
65,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
66,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
67,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
68,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
69,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
70,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
71,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
72,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
73,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
74,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
75,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
76,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
77,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
78,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
79,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
80,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
81,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
82,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
83,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
84,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
85,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
86,NULL,Cropland,Wetland,NULL,Wetland,NULL
87,NULL,Cropland,Wetland,NULL,Wetland,Grassland
88,NULL,Cropland,Wetland,NULL,Wetland,Forest
89,NULL,Cropland,Wetland,Non_Water,Wetland,NULL
90,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
91,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
92,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
93,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
94,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
95,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
96,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
97,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
98,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
99,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
100,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
101,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
102,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
103,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
104,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
105,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
106,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
107,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
108,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
109,NULL,Wetland,Wetland,NULL,Wetland,NULL
110,NULL,Wetland,Wetland,NULL,Wetland,Forest
111,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
112,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
113,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
114,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
115,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
116,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
117,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
118,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
119,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
120,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
