Value,AFRICA_2024_DynamicWorld_2024_35NQJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NQJ_M_R,AFRICA_2024_GLC_FCS30D_2022_35NQJ_M_R,AFRICA_2024_GSW_Yearly_2021_35NQJ_M_R,AFRICA_2024_GWL_FCS30D_2022_35NQJ_M_R,AFRICA_2024_WorldCover_2021_35NQJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,Cropland
11,NULL,NULL,NULL,Water,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
24,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
29,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
34,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
36,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
38,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
43,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
45,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
46,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
47,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
48,NULL,NULL,Wetland,NULL,Wetland,NULL
49,NULL,NULL,Wetland,NULL,Wetland,Grassland
50,NULL,NULL,Wetland,NULL,Wetland,Cropland
51,NULL,NULL,Wetland,NULL,Wetland,Wetland
52,NULL,NULL,Wetland,NULL,Wetland,Forest
53,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
54,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
55,NULL,NULL,Wetland,Water,Wetland,Grassland
56,NULL,NULL,Wetland,Water,Wetland,Wetland
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
58,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
59,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
60,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
61,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
62,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
63,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
64,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
65,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
66,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
67,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
69,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
71,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
72,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
73,NULL,NULL,Water,NULL,Water,Grassland
74,NULL,NULL,Water,Water,Water,Grassland
75,NULL,NULL,Forest,NULL,Non_Wetland,NULL
76,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
77,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
78,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
79,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
80,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
81,NULL,NULL,Forest,NULL,Non_Wetland,Forest
82,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
83,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
84,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
85,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
86,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
87,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
88,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
89,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
90,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
91,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
92,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
93,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
94,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
99,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
100,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
101,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
102,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
103,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
104,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
105,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
106,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
107,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
108,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
109,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
110,NULL,Cropland,Wetland,NULL,Wetland,Grassland
111,NULL,Cropland,Wetland,NULL,Wetland,Wetland
112,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
113,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
114,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
115,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
116,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
117,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
118,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
119,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
