Value,AFRICA_2024_DynamicWorld_2024_36NWJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NWJ_M_R,AFRICA_2024_GLC_FCS30D_2022_36NWJ_M_R,AFRICA_2024_GSW_Yearly_2021_36NWJ_M_R,AFRICA_2024_GWL_FCS30D_2022_36NWJ_M_R,AFRICA_2024_WorldCover_2021_36NWJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Water
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Grassland,NULL,Non_Wetland,Water
29,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
32,NULL,NULL,Grassland,Water,Non_Wetland,NULL
33,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Water,Non_Wetland,Water
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
36,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
41,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
46,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
47,NULL,NULL,Wetland,NULL,Wetland,NULL
48,NULL,NULL,Wetland,NULL,Wetland,Grassland
49,NULL,NULL,Wetland,NULL,Wetland,Wetland
50,NULL,NULL,Wetland,NULL,Wetland,Bareland
51,NULL,NULL,Wetland,NULL,Wetland,Forest
52,NULL,NULL,Wetland,Non_Water,Wetland,NULL
53,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
54,NULL,NULL,Wetland,Water,Wetland,NULL
55,NULL,NULL,Wetland,Water,Wetland,Wetland
56,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
57,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
59,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
60,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
61,NULL,NULL,Bareland,NULL,Non_Wetland,Water
62,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
63,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
64,NULL,NULL,Bareland,Water,Non_Wetland,NULL
65,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
66,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
67,NULL,NULL,Bareland,Water,Non_Wetland,Water
68,NULL,NULL,Bareland,Water,Non_Wetland,Forest
69,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
70,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
71,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
72,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
73,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
74,NULL,NULL,Built-up,NULL,Non_Wetland,Water
75,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
76,NULL,NULL,Water,NULL,Water,NULL
77,NULL,NULL,Water,NULL,Water,Grassland
78,NULL,NULL,Water,Water,Water,NULL
79,NULL,NULL,Water,Water,Water,Grassland
80,NULL,NULL,Water,Water,Water,Wetland
81,NULL,NULL,Water,Water,Water,Water
82,NULL,NULL,Forest,NULL,Non_Wetland,NULL
83,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
84,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
85,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
86,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
87,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
88,NULL,NULL,Forest,NULL,Non_Wetland,Water
89,NULL,NULL,Forest,NULL,Non_Wetland,Forest
90,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
91,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
92,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
93,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
94,NULL,NULL,Forest,Water,Non_Wetland,NULL
95,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
96,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
97,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
98,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
99,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
100,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
104,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
105,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
106,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
107,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
108,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
109,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
110,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
111,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
112,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
113,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
114,NULL,Cropland,Grassland,NULL,Non_Wetland,Water
115,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
116,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
117,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
118,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
119,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
120,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
121,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
