Value,AFRICA_2024_DynamicWorld_2024_36PZC_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PZC_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZC_M_R,AFRICA_2024_GSW_Yearly_2021_36PZC_M_R,AFRICA_2024_GWL_FCS30D_2022_36PZC_M_R,AFRICA_2024_WorldCover_2021_36PZC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
12,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
17,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
19,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
20,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
22,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
23,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
24,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
25,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
26,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
27,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
28,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
29,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
30,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
31,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
32,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
33,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
34,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
35,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
36,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
37,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
38,NULL,NULL,Bareland,Water,Non_Wetland,NULL
39,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
40,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
41,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
42,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
43,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
44,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
45,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
46,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
47,NULL,NULL,Water,NULL,Water,Grassland
48,NULL,NULL,Forest,NULL,Non_Wetland,NULL
49,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
50,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
51,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
52,NULL,NULL,Forest,NULL,Non_Wetland,Forest
53,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
54,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
55,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
56,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
57,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
58,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
59,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
60,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
61,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
62,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
63,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
64,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
65,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
66,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
67,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
68,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
69,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
70,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
71,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
72,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
73,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
74,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
75,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
76,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
77,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
78,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
79,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
80,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
81,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
82,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
83,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
84,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
85,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
86,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
87,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
88,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
89,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
90,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
91,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
92,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
93,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
94,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
95,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
96,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
97,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
98,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
99,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
100,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
101,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
102,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
103,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
104,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
105,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
106,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
107,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
108,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
109,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
110,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
111,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
112,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
113,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
114,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
115,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
116,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
117,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
