Value,AFRICA_2024_DynamicWorld_2024_36PVB_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PVB_M_R,AFRICA_2024_GLC_FCS30D_2022_36PVB_M_R,AFRICA_2024_GSW_Yearly_2021_36PVB_M_R,AFRICA_2024_GWL_FCS30D_2022_36PVB_M_R,AFRICA_2024_WorldCover_2021_36PVB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
39,NULL,NULL,Grassland,Water,Non_Wetland,NULL
40,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
41,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
42,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
43,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
44,NULL,NULL,Grassland,Water,Non_Wetland,Forest
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
46,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
49,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
50,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
51,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
57,NULL,NULL,Cropland,Water,Non_Wetland,NULL
58,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
59,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
60,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
61,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
62,NULL,NULL,Cropland,Water,Non_Wetland,Forest
63,NULL,NULL,Wetland,NULL,Wetland,NULL
64,NULL,NULL,Wetland,NULL,Wetland,Grassland
65,NULL,NULL,Wetland,NULL,Wetland,Cropland
66,NULL,NULL,Wetland,NULL,Wetland,Wetland
67,NULL,NULL,Wetland,NULL,Wetland,Forest
68,NULL,NULL,Wetland,Non_Water,Wetland,NULL
69,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
70,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
71,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
72,NULL,NULL,Wetland,Non_Water,Wetland,Forest
73,NULL,NULL,Wetland,Water,Wetland,Cropland
74,NULL,NULL,Wetland,Water,Wetland,Wetland
75,NULL,NULL,Wetland,Water,Wetland,Water
76,NULL,NULL,Wetland,Water,Wetland,Forest
77,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
78,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
79,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
80,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
81,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
82,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
83,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
84,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
85,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
86,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
87,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
92,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
93,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
94,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
95,NULL,NULL,Bareland,Water,Non_Wetland,Forest
96,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
97,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
98,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
99,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
100,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
101,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
102,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
103,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
104,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
105,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
106,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
107,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
108,NULL,NULL,Built-up,Water,Non_Wetland,NULL
109,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
110,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
111,NULL,NULL,Built-up,Water,Non_Wetland,Forest
112,NULL,NULL,Water,NULL,Water,Cropland
113,NULL,NULL,Water,Water,Water,Cropland
114,NULL,NULL,Forest,NULL,Non_Wetland,NULL
115,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
116,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
117,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
118,NULL,NULL,Forest,NULL,Non_Wetland,Forest
119,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
