Value,AFRICA_2024_DynamicWorld_2024_37NED_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NED_M_R,AFRICA_2024_GLC_FCS30D_2022_37NED_M_R,AFRICA_2024_GSW_Yearly_2021_37NED_M_R,AFRICA_2024_GWL_FCS30D_2022_37NED_M_R,AFRICA_2024_WorldCover_2021_37NED_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Water
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
27,NULL,NULL,Grassland,NULL,Non_Wetland,Water
28,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
33,NULL,NULL,Grassland,Water,Non_Wetland,NULL
34,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
35,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
36,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
37,NULL,NULL,Grassland,Water,Non_Wetland,Water
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
39,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
43,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
47,NULL,NULL,Cropland,Water,Non_Wetland,NULL
48,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
49,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
50,NULL,NULL,Cropland,Water,Non_Wetland,Water
51,NULL,NULL,Wetland,NULL,Wetland,Water
52,NULL,NULL,Wetland,Water,Wetland,NULL
53,NULL,NULL,Wetland,Water,Wetland,Grassland
54,NULL,NULL,Wetland,Water,Wetland,Bareland
55,NULL,NULL,Wetland,Water,Wetland,Water
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
58,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
59,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
60,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
61,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
62,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
63,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
64,NULL,NULL,Bareland,NULL,Non_Wetland,Water
65,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
66,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
67,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
68,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
69,NULL,NULL,Bareland,Water,Non_Wetland,NULL
70,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
71,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
72,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
73,NULL,NULL,Bareland,Water,Non_Wetland,Water
74,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
75,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
76,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
77,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
78,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
79,NULL,NULL,Built-up,NULL,Non_Wetland,Water
80,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
81,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
82,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
83,NULL,NULL,Built-up,Water,Non_Wetland,NULL
84,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
85,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
86,NULL,NULL,Water,NULL,Water,NULL
87,NULL,NULL,Water,NULL,Water,Grassland
88,NULL,NULL,Water,NULL,Water,Forest
89,NULL,NULL,Water,Non_Water,Water,NULL
90,NULL,NULL,Water,Non_Water,Water,Grassland
91,NULL,NULL,Water,Non_Water,Water,Bareland
92,NULL,NULL,Water,Water,Water,NULL
93,NULL,NULL,Water,Water,Water,Cropland
94,NULL,NULL,Water,Water,Water,Bareland
95,NULL,NULL,Water,Water,Water,Water
96,NULL,NULL,Forest,NULL,Non_Wetland,NULL
97,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
98,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
99,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
100,NULL,NULL,Forest,NULL,Non_Wetland,Forest
101,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
102,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
103,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
104,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
105,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
106,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
107,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
108,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
109,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
110,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
111,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
112,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
113,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
114,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
115,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
116,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
117,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
118,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
119,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
120,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
121,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
