Value,AFRICA_2024_DynamicWorld_2024_36PVQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PVQ_M_R,AFRICA_2024_GLC_FCS30D_2022_36PVQ_M_R,AFRICA_2024_GSW_Yearly_2021_36PVQ_M_R,AFRICA_2024_GWL_FCS30D_2022_36PVQ_M_R,AFRICA_2024_WorldCover_2021_36PVQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
5,NULL,NULL,NULL,Water,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
20,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
25,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
27,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
28,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
32,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
33,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
34,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
35,NULL,NULL,Wetland,NULL,Wetland,NULL
36,NULL,NULL,Wetland,NULL,Wetland,Grassland
37,NULL,NULL,Wetland,NULL,Wetland,Wetland
38,NULL,NULL,Wetland,NULL,Wetland,Forest
39,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
40,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
41,NULL,NULL,Wetland,Non_Water,Wetland,Forest
42,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
43,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
44,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
45,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
46,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
47,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
48,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
49,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
50,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
51,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
52,NULL,NULL,Water,NULL,Water,Grassland
53,NULL,NULL,Water,NULL,Water,Wetland
54,NULL,NULL,Water,Non_Water,Water,Grassland
55,NULL,NULL,Water,Water,Water,Grassland
56,NULL,NULL,Forest,NULL,Non_Wetland,NULL
57,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
58,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
59,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
60,NULL,NULL,Forest,NULL,Non_Wetland,Forest
61,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
62,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
63,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
64,NULL,NULL,Forest,Water,Non_Wetland,Grassland
65,NULL,NULL,Forest,Water,Non_Wetland,Wetland
66,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
67,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
68,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
69,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
70,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
71,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
72,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
73,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
74,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
75,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
76,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
77,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
78,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
79,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
80,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
81,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
82,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
83,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
84,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
85,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
86,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
87,NULL,Wetland,Wetland,NULL,Wetland,Grassland
88,NULL,Wetland,Wetland,NULL,Wetland,Wetland
89,NULL,Wetland,Wetland,NULL,Wetland,Forest
90,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
91,NULL,Wetland,Wetland,Water,Wetland,Forest
92,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
93,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
94,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
95,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
96,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
97,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
98,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
99,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
100,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
101,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
102,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
103,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
104,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
105,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
106,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
107,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
108,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
109,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
110,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
111,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
112,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
113,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
114,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
115,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
116,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
117,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
118,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
