Value,AFRICA_2024_DynamicWorld_2024_35PPN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PPN_M_R,AFRICA_2024_GLC_FCS30D_2022_35PPN_M_R,AFRICA_2024_GSW_Yearly_2021_35PPN_M_R,AFRICA_2024_GWL_FCS30D_2022_35PPN_M_R,AFRICA_2024_WorldCover_2021_35PPN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
12,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
13,NULL,NULL,NULL,Water,Non_Wetland,NULL
14,NULL,NULL,NULL,Water,Non_Wetland,Grassland
15,NULL,NULL,NULL,Water,Non_Wetland,Cropland
16,NULL,NULL,NULL,Water,Non_Wetland,Wetland
17,NULL,NULL,NULL,Water,Non_Wetland,Bareland
18,NULL,NULL,NULL,Water,Non_Wetland,Water
19,NULL,NULL,NULL,Water,Non_Wetland,Forest
20,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
28,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
33,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
34,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
35,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
36,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
38,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
41,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
43,NULL,NULL,Grassland,NULL,Non_Wetland,Water
44,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
51,NULL,NULL,Grassland,Water,Non_Wetland,NULL
52,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
53,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
54,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
55,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
56,NULL,NULL,Grassland,Water,Non_Wetland,Forest
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
58,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
59,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
60,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
61,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
62,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
63,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
64,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
66,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
67,NULL,NULL,Cropland,Water,Non_Wetland,NULL
68,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
69,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
70,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
71,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
72,NULL,NULL,Wetland,NULL,Wetland,NULL
73,NULL,NULL,Wetland,NULL,Wetland,Grassland
74,NULL,NULL,Wetland,NULL,Wetland,Cropland
75,NULL,NULL,Wetland,NULL,Wetland,Bareland
76,NULL,NULL,Wetland,NULL,Wetland,Forest
77,NULL,NULL,Wetland,Non_Water,Wetland,NULL
78,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
79,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
80,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
81,NULL,NULL,Wetland,Non_Water,Wetland,Forest
82,NULL,NULL,Wetland,Water,Wetland,NULL
83,NULL,NULL,Wetland,Water,Wetland,Grassland
84,NULL,NULL,Wetland,Water,Wetland,Cropland
85,NULL,NULL,Wetland,Water,Wetland,Wetland
86,NULL,NULL,Wetland,Water,Wetland,Bareland
87,NULL,NULL,Wetland,Water,Wetland,Water
88,NULL,NULL,Wetland,Water,Wetland,Forest
89,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
90,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
91,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
92,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
93,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
94,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
95,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
96,NULL,NULL,Bareland,NULL,Non_Wetland,Water
97,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
99,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
100,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
101,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
102,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
103,NULL,NULL,Bareland,Water,Non_Wetland,Forest
104,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
105,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
106,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
107,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
108,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
109,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
110,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
111,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
112,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
113,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
114,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
115,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
116,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
117,NULL,NULL,Built-up,Water,Non_Wetland,NULL
118,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
119,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
120,NULL,NULL,Built-up,Water,Non_Wetland,Forest
121,NULL,NULL,Water,Non_Water,Water,NULL
