Value,AFRICA_2024_DynamicWorld_2024_35NRH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NRH_M_R,AFRICA_2024_GLC_FCS30D_2022_35NRH_M_R,AFRICA_2024_GSW_Yearly_2021_35NRH_M_R,AFRICA_2024_GWL_FCS30D_2022_35NRH_M_R,AFRICA_2024_WorldCover_2021_35NRH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
24,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
25,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
29,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
33,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
35,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
36,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
38,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
44,NULL,NULL,Wetland,NULL,Wetland,NULL
45,NULL,NULL,Wetland,NULL,Wetland,Grassland
46,NULL,NULL,Wetland,NULL,Wetland,Cropland
47,NULL,NULL,Wetland,NULL,Wetland,Wetland
48,NULL,NULL,Wetland,NULL,Wetland,Forest
49,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
50,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
51,NULL,NULL,Wetland,Water,Wetland,Wetland
52,NULL,NULL,Wetland,Water,Wetland,Bareland
53,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
54,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
56,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
59,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
60,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
61,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
62,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
63,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
64,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
65,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
66,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
67,NULL,NULL,Water,NULL,Water,Grassland
68,NULL,NULL,Water,NULL,Water,Forest
69,NULL,NULL,Water,Non_Water,Water,Grassland
70,NULL,NULL,Water,Non_Water,Water,Wetland
71,NULL,NULL,Water,Water,Water,Wetland
72,NULL,NULL,Forest,NULL,Non_Wetland,NULL
73,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
74,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
75,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
76,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
77,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
78,NULL,NULL,Forest,NULL,Non_Wetland,Forest
79,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
80,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
81,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
82,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
83,NULL,NULL,Forest,Water,Non_Wetland,NULL
84,NULL,NULL,Forest,Water,Non_Wetland,Grassland
85,NULL,NULL,Forest,Water,Non_Wetland,Wetland
86,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
87,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
88,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
89,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
90,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
91,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
92,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL
93,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
94,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
102,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
103,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
104,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
105,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
106,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
107,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
108,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
109,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
110,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
111,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
112,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
113,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
114,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
115,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
116,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
117,NULL,Cropland,Wetland,NULL,Wetland,NULL
118,NULL,Cropland,Wetland,NULL,Wetland,Grassland
119,NULL,Cropland,Wetland,NULL,Wetland,Wetland
120,NULL,Cropland,Wetland,NULL,Wetland,Forest
