Value,AFRICA_2024_DynamicWorld_2024_35PQN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PQN_M_R,AFRICA_2024_GLC_FCS30D_2022_35PQN_M_R,AFRICA_2024_GSW_Yearly_2021_35PQN_M_R,AFRICA_2024_GWL_FCS30D_2022_35PQN_M_R,AFRICA_2024_WorldCover_2021_35PQN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
12,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
13,NULL,NULL,NULL,Water,Non_Wetland,Grassland
14,NULL,NULL,NULL,Water,Non_Wetland,Cropland
15,NULL,NULL,NULL,Water,Non_Wetland,Wetland
16,NULL,NULL,NULL,Water,Non_Wetland,Bareland
17,NULL,NULL,NULL,Water,Non_Wetland,Forest
18,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
28,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
31,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
32,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
33,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
34,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
36,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
41,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
48,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
49,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
50,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
51,NULL,NULL,Grassland,Water,Non_Wetland,Forest
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
53,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
54,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
55,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
56,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
57,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
58,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
62,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
63,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
64,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
65,NULL,NULL,Wetland,NULL,Wetland,NULL
66,NULL,NULL,Wetland,NULL,Wetland,Grassland
67,NULL,NULL,Wetland,NULL,Wetland,Cropland
68,NULL,NULL,Wetland,NULL,Wetland,Wetland
69,NULL,NULL,Wetland,NULL,Wetland,Bareland
70,NULL,NULL,Wetland,NULL,Wetland,Forest
71,NULL,NULL,Wetland,Non_Water,Wetland,NULL
72,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
73,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
74,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
75,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
76,NULL,NULL,Wetland,Non_Water,Wetland,Forest
77,NULL,NULL,Wetland,Water,Wetland,Grassland
78,NULL,NULL,Wetland,Water,Wetland,Cropland
79,NULL,NULL,Wetland,Water,Wetland,Wetland
80,NULL,NULL,Wetland,Water,Wetland,Bareland
81,NULL,NULL,Wetland,Water,Wetland,Water
82,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
83,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
84,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
85,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
86,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
87,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
88,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
89,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
90,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
91,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
92,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
93,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
94,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
95,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
96,NULL,NULL,Water,NULL,Water,Wetland
97,NULL,NULL,Water,Non_Water,Water,NULL
98,NULL,NULL,Water,Non_Water,Water,Grassland
99,NULL,NULL,Water,Water,Water,Bareland
100,NULL,NULL,Water,Water,Water,Forest
101,NULL,NULL,Forest,NULL,Non_Wetland,NULL
102,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
103,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
104,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
105,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
106,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
107,NULL,NULL,Forest,NULL,Non_Wetland,Forest
108,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
109,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
110,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
111,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
112,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
113,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
114,NULL,NULL,Forest,Water,Non_Wetland,Grassland
115,NULL,NULL,Forest,Water,Non_Wetland,Cropland
116,NULL,NULL,Forest,Water,Non_Wetland,Wetland
117,NULL,NULL,Forest,Water,Non_Wetland,Bareland
118,NULL,NULL,Forest,Water,Non_Wetland,Forest
119,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
120,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
121,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
