Value,AFRICA_2024_DynamicWorld_2024_36NTN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NTN_M_R,AFRICA_2024_GLC_FCS30D_2022_36NTN_M_R,AFRICA_2024_GSW_Yearly_2021_36NTN_M_R,AFRICA_2024_GWL_FCS30D_2022_36NTN_M_R,AFRICA_2024_WorldCover_2021_36NTN_M_R
120,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
121,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
122,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
123,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
124,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
125,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
126,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
127,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
128,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
129,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
130,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
131,NULL,Wetland,Wetland,NULL,Wetland,NULL
132,NULL,Wetland,Wetland,NULL,Wetland,Wetland
133,NULL,Wetland,Wetland,NULL,Wetland,Forest
134,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
135,NULL,Wetland,Wetland,Water,Wetland,Wetland
136,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
137,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
138,NULL,Wetland,Water,NULL,Water,Wetland
139,NULL,Wetland,Water,Water,Water,Wetland
140,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
141,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
142,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
143,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
144,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
145,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
146,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
147,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
148,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
149,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
150,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
151,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
152,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
153,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
154,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
155,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
156,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
157,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
158,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
159,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
160,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
161,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
162,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland
163,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
164,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
165,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
166,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
167,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
168,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
169,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Wetland
170,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
171,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
172,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
173,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
174,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
175,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
176,NULL,Built-up,Wetland,NULL,Wetland,Wetland
177,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland
178,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
179,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
180,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
181,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
182,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
183,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
184,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
185,NULL,Built-up,Built-up,Water,Non_Wetland,Wetland
186,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
187,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
188,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
189,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
190,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
191,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
192,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
193,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
194,NULL,Built-up,Forest,Non_Water,Non_Wetland,Wetland
195,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
196,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
197,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
198,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
199,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
200,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
201,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
202,NULL,Water,Wetland,NULL,Wetland,Wetland
203,NULL,Water,Forest,NULL,Non_Wetland,NULL
204,NULL,Water,Forest,NULL,Non_Wetland,Wetland
205,NULL,Forest,NULL,NULL,Non_Wetland,NULL
206,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
207,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
208,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
209,NULL,Forest,NULL,NULL,Non_Wetland,Forest
210,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
211,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
212,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
213,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
214,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
215,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
216,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
217,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
218,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
219,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
220,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
221,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
222,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
223,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
224,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
225,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
226,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
227,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
228,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
229,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
230,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
231,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
232,NULL,Forest,Wetland,NULL,Wetland,NULL
233,NULL,Forest,Wetland,NULL,Wetland,Grassland
234,NULL,Forest,Wetland,NULL,Wetland,Wetland
235,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
236,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
237,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
238,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
239,NULL,Forest,Forest,NULL,Non_Wetland,NULL
240,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
241,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
242,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
243,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
244,NULL,Forest,Forest,NULL,Non_Wetland,Forest
245,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
246,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
247,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
248,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
249,NULL,Forest,Forest,Water,Non_Wetland,NULL
250,NULL,Forest,Forest,Water,Non_Wetland,Wetland
251,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
252,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
253,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
254,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up
255,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
256,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
257,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
258,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
259,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
260,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
261,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
262,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
263,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
264,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
265,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
266,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
267,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
268,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
269,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
270,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL
271,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
272,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
273,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
274,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
275,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
276,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
277,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
278,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
279,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
280,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
281,Grassland,NULL,Wetland,NULL,Wetland,NULL
282,Grassland,NULL,Wetland,NULL,Wetland,Grassland
283,Grassland,NULL,Wetland,NULL,Wetland,Wetland
284,Grassland,NULL,Wetland,NULL,Wetland,Forest
285,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
286,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
287,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
288,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
289,Grassland,NULL,Wetland,Water,Wetland,Wetland
290,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
291,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
292,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
293,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
294,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL
295,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
296,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
297,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
298,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
299,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
300,Grassland,NULL,Built-up,Water,Non_Wetland,Wetland
301,Grassland,NULL,Water,NULL,Water,Wetland
302,Grassland,NULL,Water,Non_Water,Water,Wetland
303,Grassland,NULL,Water,Water,Water,Wetland
304,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
305,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
306,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
307,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
308,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
309,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
310,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
311,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
312,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
313,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
314,Grassland,NULL,Forest,Water,Non_Wetland,NULL
315,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
316,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
317,Grassland,NULL,Forest,Water,Non_Wetland,Forest
318,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
319,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
320,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
321,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
322,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
323,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
324,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
325,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
326,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
327,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
328,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
329,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
330,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
331,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
332,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
333,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
334,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
335,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL
336,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
337,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
338,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
339,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
340,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland
341,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
342,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
343,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
344,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
345,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
346,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
347,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
348,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
349,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
350,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
351,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
352,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
353,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
354,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
355,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
356,Grassland,Wetland,Wetland,Water,Wetland,Grassland
357,Grassland,Wetland,Wetland,Water,Wetland,Wetland
358,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL
359,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland
360,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
361,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
362,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland
363,Grassland,Wetland,Water,NULL,Water,Wetland
364,Grassland,Wetland,Water,Non_Water,Water,Wetland
365,Grassland,Wetland,Water,Water,Water,Wetland
366,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
367,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
368,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
369,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
370,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
371,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
372,Grassland,Wetland,Forest,Water,Non_Wetland,NULL
373,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
374,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland
375,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
376,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
377,Grassland,Water,NULL,NULL,Non_Wetland,Grassland
378,Grassland,Water,NULL,NULL,Non_Wetland,Wetland
379,Grassland,Water,NULL,NULL,Non_Wetland,Forest
380,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL
381,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
382,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
383,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
384,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
385,Grassland,Water,Shrubland,Water,Non_Wetland,Grassland
386,Grassland,Water,Wetland,NULL,Wetland,Wetland
387,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
388,Grassland,Water,Wetland,Water,Wetland,Wetland
389,Grassland,Water,Bareland,NULL,Non_Wetland,Grassland
390,Grassland,Water,Water,NULL,Water,Wetland
391,Grassland,Water,Water,Non_Water,Water,Wetland
392,Grassland,Water,Water,Water,Water,Wetland
393,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
394,Grassland,Water,Forest,NULL,Non_Wetland,Wetland
395,Grassland,Water,Forest,NULL,Non_Wetland,Forest
396,Grassland,Water,Forest,Non_Water,Non_Wetland,Grassland
397,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland
398,Grassland,Water,Forest,Non_Water,Non_Wetland,Forest
399,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
400,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
401,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
402,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
403,Grassland,Forest,NULL,Non_Water,Non_Wetland,Grassland
404,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland
405,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
406,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
407,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
408,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
409,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
410,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
411,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
412,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
413,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
414,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
415,Grassland,Forest,Shrubland,Water,Non_Wetland,Forest
416,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
417,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
418,Grassland,Forest,Wetland,NULL,Wetland,Grassland
419,Grassland,Forest,Wetland,NULL,Wetland,Wetland
420,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
421,Grassland,Forest,Wetland,Water,Wetland,Wetland
422,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
