Value,AFRICA_2024_DynamicWorld_2024_37PCM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PCM_M_R,AFRICA_2024_GLC_FCS30D_2022_37PCM_M_R,AFRICA_2024_GSW_Yearly_2021_37PCM_M_R,AFRICA_2024_GWL_FCS30D_2022_37PCM_M_R,AFRICA_2024_WorldCover_2021_37PCM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Water,Non_Wetland,NULL
11,NULL,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
25,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Water
29,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
36,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
41,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
42,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
44,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
49,NULL,NULL,Cropland,NULL,Non_Wetland,Water
50,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
55,NULL,NULL,Cropland,Water,Non_Wetland,NULL
56,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
57,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
58,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
59,NULL,NULL,Cropland,Water,Non_Wetland,Water
60,NULL,NULL,Cropland,Water,Non_Wetland,Forest
61,NULL,NULL,Wetland,NULL,Wetland,NULL
62,NULL,NULL,Wetland,NULL,Wetland,Grassland
63,NULL,NULL,Wetland,NULL,Wetland,Cropland
64,NULL,NULL,Wetland,NULL,Wetland,Forest
65,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
66,NULL,NULL,Wetland,Water,Wetland,NULL
67,NULL,NULL,Wetland,Water,Wetland,Forest
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
70,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
71,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
73,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
74,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
75,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
76,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
77,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
78,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
79,NULL,NULL,Bareland,NULL,Non_Wetland,Water
80,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
84,NULL,NULL,Bareland,Water,Non_Wetland,NULL
85,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
86,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
87,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
88,NULL,NULL,Bareland,Water,Non_Wetland,Water
89,NULL,NULL,Bareland,Water,Non_Wetland,Forest
90,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
91,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
92,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
93,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
94,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
95,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
96,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
97,NULL,NULL,Built-up,Water,Non_Wetland,NULL
98,NULL,NULL,Water,NULL,Water,Grassland
99,NULL,NULL,Water,NULL,Water,Cropland
100,NULL,NULL,Forest,NULL,Non_Wetland,NULL
101,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
102,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
103,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
104,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
105,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
106,NULL,NULL,Forest,NULL,Non_Wetland,Water
107,NULL,NULL,Forest,NULL,Non_Wetland,Forest
108,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
109,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
110,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
111,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
112,NULL,NULL,Forest,Water,Non_Wetland,NULL
113,NULL,NULL,Forest,Water,Non_Wetland,Grassland
114,NULL,NULL,Forest,Water,Non_Wetland,Cropland
115,NULL,NULL,Forest,Water,Non_Wetland,Water
116,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
117,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
118,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
119,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
120,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
