Value,AFRICA_2024_DynamicWorld_2024_35PMK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PMK_M_R,AFRICA_2024_GLC_FCS30D_2022_35PMK_M_R,AFRICA_2024_GSW_Yearly_2021_35PMK_M_R,AFRICA_2024_GWL_FCS30D_2022_35PMK_M_R,AFRICA_2024_WorldCover_2021_35PMK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,NULL,Water,Non_Wetland,Cropland
14,NULL,NULL,NULL,Water,Non_Wetland,Wetland
15,NULL,NULL,NULL,Water,Non_Wetland,Bareland
16,NULL,NULL,NULL,Water,Non_Wetland,Water
17,NULL,NULL,NULL,Water,Non_Wetland,Forest
18,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
28,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
34,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
35,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
36,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
37,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
38,NULL,NULL,Shrubland,Water,Non_Wetland,Water
39,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
41,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
44,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
45,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
46,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
50,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
51,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
52,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
53,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
54,NULL,NULL,Grassland,Water,Non_Wetland,Water
55,NULL,NULL,Grassland,Water,Non_Wetland,Forest
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
57,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
58,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
59,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
60,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
62,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
63,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
64,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
65,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
66,NULL,NULL,Cropland,Water,Non_Wetland,Forest
67,NULL,NULL,Wetland,NULL,Wetland,NULL
68,NULL,NULL,Wetland,NULL,Wetland,Grassland
69,NULL,NULL,Wetland,NULL,Wetland,Cropland
70,NULL,NULL,Wetland,NULL,Wetland,Wetland
71,NULL,NULL,Wetland,NULL,Wetland,Bareland
72,NULL,NULL,Wetland,NULL,Wetland,Water
73,NULL,NULL,Wetland,NULL,Wetland,Forest
74,NULL,NULL,Wetland,Non_Water,Wetland,NULL
75,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
76,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
77,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
78,NULL,NULL,Wetland,Non_Water,Wetland,Water
79,NULL,NULL,Wetland,Non_Water,Wetland,Forest
80,NULL,NULL,Wetland,Water,Wetland,NULL
81,NULL,NULL,Wetland,Water,Wetland,Grassland
82,NULL,NULL,Wetland,Water,Wetland,Wetland
83,NULL,NULL,Wetland,Water,Wetland,Forest
84,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
85,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
86,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
87,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
88,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
89,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
90,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
91,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
92,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
93,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
96,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
97,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
98,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
99,NULL,NULL,Bareland,Water,Non_Wetland,Water
100,NULL,NULL,Bareland,Water,Non_Wetland,Forest
101,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
102,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
103,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
104,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
105,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
106,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
107,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
108,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
109,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
110,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
111,NULL,NULL,Built-up,Water,Non_Wetland,Forest
112,NULL,NULL,Water,NULL,Water,Grassland
113,NULL,NULL,Water,NULL,Water,Wetland
114,NULL,NULL,Water,NULL,Water,Bareland
115,NULL,NULL,Water,NULL,Water,Water
116,NULL,NULL,Water,NULL,Water,Forest
117,NULL,NULL,Water,Non_Water,Water,Wetland
118,NULL,NULL,Water,Non_Water,Water,Forest
119,NULL,NULL,Water,Water,Water,Grassland
120,NULL,NULL,Water,Water,Water,Wetland
121,NULL,NULL,Water,Water,Water,Bareland
122,NULL,NULL,Water,Water,Water,Water
123,NULL,NULL,Water,Water,Water,Forest
