Value,AFRICA_2024_DynamicWorld_2024_37PDT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PDT_M_R,AFRICA_2024_GLC_FCS30D_2022_37PDT_M_R,AFRICA_2024_GSW_Yearly_2021_37PDT_M_R,AFRICA_2024_GWL_FCS30D_2022_37PDT_M_R,AFRICA_2024_WorldCover_2021_37PDT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Water
12,NULL,NULL,NULL,Water,Non_Wetland,NULL
13,NULL,NULL,NULL,Water,Non_Wetland,Grassland
14,NULL,NULL,NULL,Water,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
25,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
26,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
29,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
33,NULL,NULL,Grassland,NULL,Non_Wetland,Water
34,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
39,NULL,NULL,Grassland,Water,Non_Wetland,NULL
40,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
41,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
42,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
44,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
48,NULL,NULL,Cropland,NULL,Non_Wetland,Water
49,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
53,NULL,NULL,Cropland,Water,Non_Wetland,NULL
54,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
55,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
56,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
57,NULL,NULL,Cropland,Water,Non_Wetland,Water
58,NULL,NULL,Wetland,NULL,Wetland,Cropland
59,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
60,NULL,NULL,Wetland,Water,Wetland,Cropland
61,NULL,NULL,Wetland,Water,Wetland,Water
62,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
67,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
68,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
69,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
70,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
71,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
72,NULL,NULL,Bareland,NULL,Non_Wetland,Water
73,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
74,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
76,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
77,NULL,NULL,Bareland,Water,Non_Wetland,NULL
78,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
79,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
80,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
81,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
82,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
83,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
84,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
85,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
86,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
87,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
88,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
89,NULL,NULL,Built-up,Water,Non_Wetland,NULL
90,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
91,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
92,NULL,NULL,Built-up,Water,Non_Wetland,Water
93,NULL,NULL,Water,NULL,Water,NULL
94,NULL,NULL,Water,NULL,Water,Grassland
95,NULL,NULL,Water,NULL,Water,Cropland
96,NULL,NULL,Water,NULL,Water,Bareland
97,NULL,NULL,Water,NULL,Water,Forest
98,NULL,NULL,Water,Non_Water,Water,Cropland
99,NULL,NULL,Water,Water,Water,Cropland
100,NULL,NULL,Water,Water,Water,Water
101,NULL,NULL,Forest,NULL,Non_Wetland,NULL
102,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
103,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
104,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
105,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
106,NULL,NULL,Forest,NULL,Non_Wetland,Forest
107,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
108,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
109,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
110,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
111,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
112,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
113,NULL,NULL,Forest,Water,Non_Wetland,NULL
114,NULL,NULL,Forest,Water,Non_Wetland,Grassland
115,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
116,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
117,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
118,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
119,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
120,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
121,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
