Value,AFRICA_2024_DynamicWorld_2024_35PPR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PPR_M_R,AFRICA_2024_GLC_FCS30D_2022_35PPR_M_R,AFRICA_2024_GSW_Yearly_2021_35PPR_M_R,AFRICA_2024_GWL_FCS30D_2022_35PPR_M_R,AFRICA_2024_WorldCover_2021_35PPR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,NULL,Water,Non_Wetland,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL
39,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
40,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
41,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
42,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
43,NULL,NULL,Grassland,Water,Non_Wetland,Water
44,NULL,NULL,Grassland,Water,Non_Wetland,Forest
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
46,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
52,NULL,NULL,Cropland,Water,Non_Wetland,NULL
53,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
54,NULL,NULL,Wetland,NULL,Wetland,Grassland
55,NULL,NULL,Wetland,NULL,Wetland,Forest
56,NULL,NULL,Wetland,Water,Wetland,Grassland
57,NULL,NULL,Wetland,Water,Wetland,Wetland
58,NULL,NULL,Wetland,Water,Wetland,Water
59,NULL,NULL,Wetland,Water,Wetland,Forest
60,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
61,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
62,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
63,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
64,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
65,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
66,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
67,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
69,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
70,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
71,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
72,NULL,NULL,Built-up,Water,Non_Wetland,Forest
73,NULL,NULL,Water,NULL,Water,Bareland
74,NULL,NULL,Water,Water,Water,Grassland
75,NULL,NULL,Water,Water,Water,Wetland
76,NULL,NULL,Forest,NULL,Non_Wetland,NULL
77,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
78,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
79,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
80,NULL,NULL,Forest,NULL,Non_Wetland,Forest
81,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
82,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
83,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
84,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
85,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
86,NULL,NULL,Forest,Water,Non_Wetland,Grassland
87,NULL,NULL,Forest,Water,Non_Wetland,Wetland
88,NULL,NULL,Forest,Water,Non_Wetland,Forest
89,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
90,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
91,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
92,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
93,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
94,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
95,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
96,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
97,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
98,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
99,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
100,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
101,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
102,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
103,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
104,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
105,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
106,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
107,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
108,NULL,Wetland,Wetland,NULL,Wetland,Forest
109,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
110,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
111,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
112,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
113,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
114,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
115,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
116,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
117,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
118,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
119,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
120,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
