Value,AFRICA_2024_DynamicWorld_2024_36NVN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NVN_M_R,AFRICA_2024_GLC_FCS30D_2022_36NVN_M_R,AFRICA_2024_GSW_Yearly_2021_36NVN_M_R,AFRICA_2024_GWL_FCS30D_2022_36NVN_M_R,AFRICA_2024_WorldCover_2021_36NVN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
6,NULL,NULL,NULL,Water,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Water
18,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
23,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
26,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
27,NULL,NULL,Wetland,NULL,Wetland,Grassland
28,NULL,NULL,Wetland,NULL,Wetland,Wetland
29,NULL,NULL,Wetland,NULL,Wetland,Forest
30,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
31,NULL,NULL,Wetland,Water,Wetland,Wetland
32,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
34,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
35,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
36,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
37,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
38,NULL,NULL,Forest,NULL,Non_Wetland,NULL
39,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
40,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
41,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
42,NULL,NULL,Forest,NULL,Non_Wetland,Forest
43,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
44,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
45,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
46,NULL,NULL,Forest,Water,Non_Wetland,Grassland
47,NULL,NULL,Forest,Water,Non_Wetland,Wetland
48,NULL,NULL,Forest,Water,Non_Wetland,Forest
49,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
50,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
51,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
52,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
53,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
54,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
55,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
56,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
57,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
58,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
59,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
60,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
61,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
62,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
63,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
64,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
65,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
66,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
67,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
68,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
69,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
70,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
71,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
72,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
73,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
74,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
75,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
76,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
77,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
78,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
79,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
80,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
81,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
82,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
83,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
84,NULL,Water,Forest,NULL,Non_Wetland,Forest
85,NULL,Forest,NULL,NULL,Non_Wetland,NULL
86,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
87,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
88,NULL,Forest,NULL,NULL,Non_Wetland,Forest
89,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
90,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
91,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
92,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
93,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
94,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
95,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
96,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
97,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
98,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
99,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
100,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
101,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
102,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
103,NULL,Forest,Wetland,NULL,Wetland,Wetland
104,NULL,Forest,Wetland,NULL,Wetland,Forest
105,NULL,Forest,Wetland,Water,Wetland,Wetland
106,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
107,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
108,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland
109,NULL,Forest,Forest,NULL,Non_Wetland,NULL
110,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
111,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
112,NULL,Forest,Forest,NULL,Non_Wetland,Forest
113,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
114,NULL,Forest,Forest,Water,Non_Wetland,Wetland
115,NULL,Forest,Forest,Water,Non_Wetland,Forest
116,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
117,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
118,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
119,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
