Value,AFRICA_2024_DynamicWorld_2024_37PGR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PGR_M_R,AFRICA_2024_GLC_FCS30D_2022_37PGR_M_R,AFRICA_2024_GSW_Yearly_2021_37PGR_M_R,AFRICA_2024_GWL_FCS30D_2022_37PGR_M_R,AFRICA_2024_WorldCover_2021_37PGR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
6,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
7,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
9,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
11,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
15,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
16,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
17,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
18,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
20,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
21,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
22,NULL,NULL,Bareland,Water,Non_Wetland,NULL
23,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
24,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
25,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
26,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
27,NULL,NULL,Water,NULL,Water,Bareland
28,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
29,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
30,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
31,NULL,Bareland,Wetland,Water,Wetland,Bareland
32,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
33,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
34,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
35,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
36,NULL,Bareland,Bareland,Water,Non_Wetland,Water
37,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
38,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
39,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
40,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
41,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
42,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
43,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
44,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
45,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
46,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
47,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
48,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
49,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
50,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
51,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
52,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
53,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
54,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
55,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
56,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
57,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
58,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
59,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
60,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
61,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
62,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
63,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
64,Cropland,NULL,Wetland,NULL,Wetland,Forest
65,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
66,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
67,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
68,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
69,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
70,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
71,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
72,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
73,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
74,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
75,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL
76,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
77,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
78,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
79,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
80,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL
81,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
82,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL
83,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
84,Cropland,Water,Grassland,NULL,Non_Wetland,NULL
85,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
86,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
87,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
88,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
89,Cropland,Forest,Wetland,NULL,Wetland,Forest
90,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
91,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
92,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
93,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland
94,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland
95,Wetland,Wetland,Grassland,NULL,Non_Wetland,Bareland
96,Wetland,Water,Shrubland,NULL,Non_Wetland,Wetland
97,Wetland,Water,Grassland,NULL,Non_Wetland,NULL
98,Wetland,Water,Grassland,NULL,Non_Wetland,Wetland
99,Wetland,Water,Grassland,NULL,Non_Wetland,Bareland
100,Wetland,Water,Grassland,Non_Water,Non_Wetland,Wetland
101,Wetland,Water,Wetland,NULL,Wetland,NULL
102,Wetland,Water,Wetland,NULL,Wetland,Cropland
103,Wetland,Water,Wetland,NULL,Wetland,Wetland
104,Wetland,Water,Wetland,NULL,Wetland,Bareland
105,Wetland,Water,Wetland,NULL,Wetland,Water
106,Wetland,Water,Wetland,Non_Water,Wetland,NULL
107,Wetland,Water,Wetland,Non_Water,Wetland,Cropland
108,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
109,Wetland,Water,Wetland,Non_Water,Wetland,Bareland
110,Wetland,Water,Wetland,Non_Water,Wetland,Water
111,Wetland,Water,Wetland,Water,Wetland,Cropland
112,Wetland,Water,Wetland,Water,Wetland,Wetland
113,Wetland,Water,Wetland,Water,Wetland,Bareland
114,Wetland,Water,Wetland,Water,Wetland,Water
115,Wetland,Water,Bareland,NULL,Non_Wetland,Cropland
116,Wetland,Water,Bareland,NULL,Non_Wetland,Bareland
117,Wetland,Water,Bareland,Non_Water,Non_Wetland,Wetland
118,Wetland,Water,Bareland,Non_Water,Non_Wetland,Bareland
