Value,AFRICA_2024_DynamicWorld_2024_36NYK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NYK_M_R,AFRICA_2024_GLC_FCS30D_2022_36NYK_M_R,AFRICA_2024_GSW_Yearly_2021_36NYK_M_R,AFRICA_2024_GWL_FCS30D_2022_36NYK_M_R,AFRICA_2024_WorldCover_2021_36NYK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
14,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
19,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
23,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
24,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
25,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
27,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
28,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
29,NULL,NULL,Wetland,NULL,Wetland,NULL
30,NULL,NULL,Wetland,NULL,Wetland,Grassland
31,NULL,NULL,Wetland,NULL,Wetland,Forest
32,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
33,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
34,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
35,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
36,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
37,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
38,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
39,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
40,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
41,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
42,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
43,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
44,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
45,NULL,NULL,Bareland,Water,Non_Wetland,NULL
46,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
47,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
48,NULL,NULL,Bareland,Water,Non_Wetland,Forest
49,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
50,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
51,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
52,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
53,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
54,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
55,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
56,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
57,NULL,NULL,Water,NULL,Water,Grassland
58,NULL,NULL,Forest,NULL,Non_Wetland,NULL
59,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
60,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
61,NULL,NULL,Forest,NULL,Non_Wetland,Forest
62,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
63,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
64,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
65,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
66,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
67,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
68,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
69,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
70,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
71,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
72,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
73,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
74,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
75,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
76,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
77,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
78,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
79,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
80,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
81,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
82,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
83,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
84,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
85,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
86,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
87,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
88,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
89,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
90,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
91,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
92,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
93,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
94,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
95,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
96,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
97,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
98,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
99,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
100,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
101,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
102,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
103,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
104,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
105,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
106,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
107,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
108,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
109,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
110,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
111,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
112,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
113,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
114,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
115,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
116,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
117,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
118,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
