Value,AFRICA_2024_DynamicWorld_2024_37PEM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PEM_M_R,AFRICA_2024_GLC_FCS30D_2022_37PEM_M_R,AFRICA_2024_GSW_Yearly_2021_37PEM_M_R,AFRICA_2024_GWL_FCS30D_2022_37PEM_M_R,AFRICA_2024_WorldCover_2021_37PEM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Water,Non_Wetland,NULL
11,NULL,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,NULL,Water,Non_Wetland,Cropland
13,NULL,NULL,NULL,Water,Non_Wetland,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
24,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
28,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
33,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
36,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
38,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
43,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
49,NULL,NULL,Cropland,Water,Non_Wetland,NULL
50,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
51,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
52,NULL,NULL,Wetland,NULL,Wetland,NULL
53,NULL,NULL,Wetland,NULL,Wetland,Cropland
54,NULL,NULL,Wetland,NULL,Wetland,Bareland
55,NULL,NULL,Wetland,Water,Wetland,NULL
56,NULL,NULL,Wetland,Water,Wetland,Bareland
57,NULL,NULL,Wetland,Water,Wetland,Forest
58,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
59,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
60,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
61,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
62,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
63,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
64,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
65,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
66,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
67,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
68,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
69,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
70,NULL,NULL,Bareland,NULL,Non_Wetland,Water
71,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
72,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
73,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
74,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
76,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
77,NULL,NULL,Bareland,Water,Non_Wetland,NULL
78,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
79,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
80,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
81,NULL,NULL,Bareland,Water,Non_Wetland,Water
82,NULL,NULL,Bareland,Water,Non_Wetland,Forest
83,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
84,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
85,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
86,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
88,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
89,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
90,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
91,NULL,NULL,Built-up,Water,Non_Wetland,NULL
92,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
93,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
94,NULL,NULL,Water,NULL,Water,NULL
95,NULL,NULL,Water,NULL,Water,Grassland
96,NULL,NULL,Water,NULL,Water,Cropland
97,NULL,NULL,Water,NULL,Water,Bareland
98,NULL,NULL,Water,NULL,Water,Forest
99,NULL,NULL,Water,Water,Water,NULL
100,NULL,NULL,Water,Water,Water,Grassland
101,NULL,NULL,Water,Water,Water,Bareland
102,NULL,NULL,Water,Water,Water,Water
103,NULL,NULL,Forest,NULL,Non_Wetland,NULL
104,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
105,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
106,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
107,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
108,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
109,NULL,NULL,Forest,NULL,Non_Wetland,Water
110,NULL,NULL,Forest,NULL,Non_Wetland,Forest
111,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
112,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
113,NULL,NULL,Forest,Water,Non_Wetland,NULL
114,NULL,NULL,Forest,Water,Non_Wetland,Grassland
115,NULL,NULL,Forest,Water,Non_Wetland,Cropland
116,NULL,NULL,Forest,Water,Non_Wetland,Forest
117,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
118,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
119,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
120,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
121,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
122,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
