Value,AFRICA_2024_DynamicWorld_2024_35PPK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PPK_M_R,AFRICA_2024_GLC_FCS30D_2022_35PPK_M_R,AFRICA_2024_GSW_Yearly_2021_35PPK_M_R,AFRICA_2024_GWL_FCS30D_2022_35PPK_M_R,AFRICA_2024_WorldCover_2021_35PPK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
12,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
13,NULL,NULL,NULL,Water,Non_Wetland,NULL
14,NULL,NULL,NULL,Water,Non_Wetland,Grassland
15,NULL,NULL,NULL,Water,Non_Wetland,Cropland
16,NULL,NULL,NULL,Water,Non_Wetland,Wetland
17,NULL,NULL,NULL,Water,Non_Wetland,Bareland
18,NULL,NULL,NULL,Water,Non_Wetland,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
28,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
36,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
37,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
38,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
39,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
40,NULL,NULL,Shrubland,Water,Non_Wetland,Water
41,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
43,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
44,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
45,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
46,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
47,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
48,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
53,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
54,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up
55,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
56,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
57,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
58,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
59,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
61,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
62,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
63,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
64,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
65,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
66,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
67,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
68,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
69,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
70,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
71,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
72,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
73,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
74,NULL,NULL,Wetland,NULL,Wetland,NULL
75,NULL,NULL,Wetland,NULL,Wetland,Grassland
76,NULL,NULL,Wetland,NULL,Wetland,Cropland
77,NULL,NULL,Wetland,NULL,Wetland,Wetland
78,NULL,NULL,Wetland,NULL,Wetland,Built-up
79,NULL,NULL,Wetland,NULL,Wetland,Forest
80,NULL,NULL,Wetland,Non_Water,Wetland,NULL
81,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
82,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
83,NULL,NULL,Wetland,Non_Water,Wetland,Forest
84,NULL,NULL,Wetland,Water,Wetland,NULL
85,NULL,NULL,Wetland,Water,Wetland,Grassland
86,NULL,NULL,Wetland,Water,Wetland,Wetland
87,NULL,NULL,Wetland,Water,Wetland,Forest
88,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
89,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
90,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
91,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
92,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
93,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
94,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
95,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
96,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
97,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
98,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
99,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
100,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
101,NULL,NULL,Bareland,Water,Non_Wetland,NULL
102,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
103,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
104,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
105,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
106,NULL,NULL,Bareland,Water,Non_Wetland,Water
107,NULL,NULL,Bareland,Water,Non_Wetland,Forest
108,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
109,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
110,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
111,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
112,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
113,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
114,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
115,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
116,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
117,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
118,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
119,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
