Value,AFRICA_2024_DynamicWorld_2024_35PQR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PQR_M_R,AFRICA_2024_GLC_FCS30D_2022_35PQR_M_R,AFRICA_2024_GSW_Yearly_2021_35PQR_M_R,AFRICA_2024_GWL_FCS30D_2022_35PQR_M_R,AFRICA_2024_WorldCover_2021_35PQR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,NULL,Water,Non_Wetland,NULL
10,NULL,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,NULL,Water,Non_Wetland,Cropland
12,NULL,NULL,NULL,Water,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
25,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
30,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
32,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
33,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
39,NULL,NULL,Cropland,Water,Non_Wetland,NULL
40,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
41,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
42,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
43,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
44,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
45,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
46,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
47,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
48,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
49,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
50,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
51,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
52,NULL,NULL,Water,NULL,Water,NULL
53,NULL,NULL,Water,NULL,Water,Grassland
54,NULL,NULL,Water,NULL,Water,Bareland
55,NULL,NULL,Water,Water,Water,Grassland
56,NULL,NULL,Water,Water,Water,Cropland
57,NULL,NULL,Forest,NULL,Non_Wetland,NULL
58,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
59,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
60,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
61,NULL,NULL,Forest,NULL,Non_Wetland,Forest
62,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
63,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
64,NULL,NULL,Forest,Water,Non_Wetland,NULL
65,NULL,NULL,Forest,Water,Non_Wetland,Grassland
66,NULL,NULL,Forest,Water,Non_Wetland,Cropland
67,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
68,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
69,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
70,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
71,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
72,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
73,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
74,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
75,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
76,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
77,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
78,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
79,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
80,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
81,NULL,Wetland,NULL,NULL,Non_Wetland,Cropland
82,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
83,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
84,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
85,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
86,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland
87,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
88,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
89,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
90,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
91,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
92,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
93,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
94,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
95,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
96,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
97,NULL,Bareland,Grassland,Water,Non_Wetland,Grassland
98,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
99,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
100,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
101,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
102,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
103,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
104,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
105,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
106,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
107,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
108,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
109,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
110,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
111,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
112,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
113,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
114,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
115,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
116,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
117,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
118,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
119,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
