Value,AFRICA_2024_DynamicWorld_2024_37PDN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PDN_M_R,AFRICA_2024_GLC_FCS30D_2022_37PDN_M_R,AFRICA_2024_GSW_Yearly_2021_37PDN_M_R,AFRICA_2024_GWL_FCS30D_2022_37PDN_M_R,AFRICA_2024_WorldCover_2021_37PDN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,NULL,Water,Non_Wetland,NULL
10,NULL,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
22,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
29,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
31,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
32,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
36,NULL,NULL,Cropland,NULL,Non_Wetland,Water
37,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
42,NULL,NULL,Cropland,Water,Non_Wetland,NULL
43,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
44,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
45,NULL,NULL,Cropland,Water,Non_Wetland,Water
46,NULL,NULL,Wetland,NULL,Wetland,NULL
47,NULL,NULL,Wetland,NULL,Wetland,Grassland
48,NULL,NULL,Wetland,NULL,Wetland,Cropland
49,NULL,NULL,Wetland,NULL,Wetland,Forest
50,NULL,NULL,Wetland,Water,Wetland,NULL
51,NULL,NULL,Wetland,Water,Wetland,Cropland
52,NULL,NULL,Wetland,Water,Wetland,Water
53,NULL,NULL,Wetland,Water,Wetland,Forest
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
55,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
58,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
59,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
60,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
61,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
62,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
63,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
64,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
65,NULL,NULL,Bareland,NULL,Non_Wetland,Water
66,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
67,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
68,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
69,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
70,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
71,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
72,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
73,NULL,NULL,Bareland,Water,Non_Wetland,NULL
74,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
75,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
76,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
77,NULL,NULL,Bareland,Water,Non_Wetland,Water
78,NULL,NULL,Bareland,Water,Non_Wetland,Forest
79,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
80,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
81,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
82,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
83,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
84,NULL,NULL,Built-up,NULL,Non_Wetland,Water
85,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
86,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
87,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
88,NULL,NULL,Built-up,Water,Non_Wetland,NULL
89,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
90,NULL,NULL,Built-up,Water,Non_Wetland,Forest
91,NULL,NULL,Water,NULL,Water,NULL
92,NULL,NULL,Water,NULL,Water,Grassland
93,NULL,NULL,Water,NULL,Water,Cropland
94,NULL,NULL,Water,NULL,Water,Bareland
95,NULL,NULL,Water,NULL,Water,Built-up
96,NULL,NULL,Water,NULL,Water,Water
97,NULL,NULL,Water,NULL,Water,Forest
98,NULL,NULL,Water,Water,Water,NULL
99,NULL,NULL,Water,Water,Water,Grassland
100,NULL,NULL,Water,Water,Water,Water
101,NULL,NULL,Forest,NULL,Non_Wetland,NULL
102,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
103,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
104,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
105,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
106,NULL,NULL,Forest,NULL,Non_Wetland,Water
107,NULL,NULL,Forest,NULL,Non_Wetland,Forest
108,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
109,NULL,NULL,Forest,Water,Non_Wetland,NULL
110,NULL,NULL,Forest,Water,Non_Wetland,Grassland
111,NULL,NULL,Forest,Water,Non_Wetland,Forest
112,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
113,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
114,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
115,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
116,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
117,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
118,NULL,Cropland,NULL,Water,Non_Wetland,Forest
119,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
120,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
121,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
122,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
