Value,AFRICA_2024_DynamicWorld_2024_36PWU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PWU_M_R,AFRICA_2024_GLC_FCS30D_2022_36PWU_M_R,AFRICA_2024_GSW_Yearly_2021_36PWU_M_R,AFRICA_2024_GWL_FCS30D_2022_36PWU_M_R,AFRICA_2024_WorldCover_2021_36PWU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
23,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
26,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
27,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
28,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
29,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
34,NULL,NULL,Cropland,NULL,Non_Wetland,Water
35,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
40,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
41,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
42,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
43,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
44,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
45,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
46,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
47,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
48,NULL,NULL,Bareland,Water,Non_Wetland,Water
49,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
50,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
51,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
52,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
53,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
54,NULL,NULL,Forest,NULL,Non_Wetland,NULL
55,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
56,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
57,NULL,NULL,Forest,NULL,Non_Wetland,Forest
58,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
59,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
60,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
61,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
62,NULL,Cropland,NULL,Water,Non_Wetland,Grassland
63,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
64,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
65,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
66,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
67,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
68,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
69,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
70,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
71,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
72,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
73,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
74,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
75,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
76,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
77,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
78,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
79,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
80,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
81,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
82,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
83,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
84,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
85,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
86,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
87,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
88,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
89,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
90,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
91,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
92,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
93,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
94,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
95,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
96,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
97,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
98,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
99,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
100,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
101,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
102,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
103,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
104,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
105,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
106,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
107,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
108,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
109,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
110,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
111,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
112,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
113,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
114,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
115,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
116,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
117,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
