Value,AFRICA_2024_DynamicWorld_2024_36PXR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PXR_M_R,AFRICA_2024_GLC_FCS30D_2022_36PXR_M_R,AFRICA_2024_GSW_Yearly_2021_36PXR_M_R,AFRICA_2024_GWL_FCS30D_2022_36PXR_M_R,AFRICA_2024_WorldCover_2021_36PXR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,NULL,Water,Non_Wetland,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
27,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
31,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
33,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
38,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
41,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
45,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
46,NULL,NULL,Wetland,NULL,Wetland,NULL
47,NULL,NULL,Wetland,NULL,Wetland,Grassland
48,NULL,NULL,Wetland,NULL,Wetland,Cropland
49,NULL,NULL,Wetland,NULL,Wetland,Wetland
50,NULL,NULL,Wetland,NULL,Wetland,Forest
51,NULL,NULL,Wetland,Water,Wetland,Cropland
52,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
53,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
55,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
56,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
59,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
60,NULL,NULL,Bareland,NULL,Non_Wetland,Water
61,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
62,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
63,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
64,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
65,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
66,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
67,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
68,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
69,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
70,NULL,NULL,Built-up,Water,Non_Wetland,Forest
71,NULL,NULL,Water,NULL,Water,Grassland
72,NULL,NULL,Forest,NULL,Non_Wetland,NULL
73,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
74,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
75,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
76,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
77,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
78,NULL,NULL,Forest,NULL,Non_Wetland,Forest
79,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
80,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
81,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
82,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
83,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
84,NULL,NULL,Forest,Water,Non_Wetland,NULL
85,NULL,NULL,Forest,Water,Non_Wetland,Grassland
86,NULL,NULL,Forest,Water,Non_Wetland,Cropland
87,NULL,NULL,Forest,Water,Non_Wetland,Wetland
88,NULL,NULL,Forest,Water,Non_Wetland,Forest
89,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
90,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
91,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
92,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
93,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
94,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
95,NULL,Cropland,NULL,Water,Non_Wetland,Cropland
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
103,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
104,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
105,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
106,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
107,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
108,NULL,Cropland,Grassland,NULL,Non_Wetland,Water
109,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
110,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
111,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
112,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
113,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
114,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
116,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
117,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
118,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
119,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
