Value,AFRICA_2024_DynamicWorld_2024_37PET_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PET_M_R,AFRICA_2024_GLC_FCS30D_2022_37PET_M_R,AFRICA_2024_GSW_Yearly_2021_37PET_M_R,AFRICA_2024_GWL_FCS30D_2022_37PET_M_R,AFRICA_2024_WorldCover_2021_37PET_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
14,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
19,NULL,NULL,Grassland,NULL,Non_Wetland,Water
20,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
24,NULL,NULL,Grassland,Water,Non_Wetland,NULL
25,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
26,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
27,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
28,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
33,NULL,NULL,Cropland,NULL,Non_Wetland,Water
34,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
37,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
38,NULL,NULL,Wetland,NULL,Wetland,NULL
39,NULL,NULL,Wetland,NULL,Wetland,Bareland
40,NULL,NULL,Wetland,Water,Wetland,Bareland
41,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
42,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
43,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
44,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
45,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
46,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
47,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
48,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
49,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
50,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
51,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
52,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
53,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
54,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
55,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
56,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
57,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
58,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
59,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
60,NULL,NULL,Forest,NULL,Non_Wetland,NULL
61,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
62,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
63,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
64,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
65,NULL,NULL,Forest,NULL,Non_Wetland,Forest
66,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
67,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
68,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
69,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
70,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
71,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
72,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
73,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
74,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
75,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
76,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
77,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
78,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
79,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
80,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
81,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
82,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
83,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
84,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
85,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
86,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
87,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
88,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
89,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
90,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
91,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
92,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
93,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
94,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
95,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
96,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
97,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
98,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
99,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
100,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
101,NULL,Bareland,Wetland,Water,Wetland,Bareland
102,NULL,Bareland,Wetland,Water,Wetland,Built-up
103,NULL,Bareland,Wetland,Water,Wetland,Water
104,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
105,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
106,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
107,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
108,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
109,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
110,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
111,NULL,Bareland,Bareland,Water,Non_Wetland,Built-up
112,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
113,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
114,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
115,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
116,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
117,NULL,Bareland,Built-up,Water,Non_Wetland,Built-up
