Value,AFRICA_2024_DynamicWorld_2024_38NLJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NLJ_M_R,AFRICA_2024_GLC_FCS30D_2022_38NLJ_M_R,AFRICA_2024_GSW_Yearly_2021_38NLJ_M_R,AFRICA_2024_GWL_FCS30D_2022_38NLJ_M_R,AFRICA_2024_WorldCover_2021_38NLJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
22,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
23,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Water
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
32,NULL,NULL,Grassland,NULL,Non_Wetland,Water
33,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL
39,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
40,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
41,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
42,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
43,NULL,NULL,Grassland,Water,Non_Wetland,Water
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
45,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
49,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
50,NULL,NULL,Cropland,NULL,Non_Wetland,Water
51,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
55,NULL,NULL,Cropland,Water,Non_Wetland,NULL
56,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
57,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
58,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
59,NULL,NULL,Cropland,Water,Non_Wetland,Water
60,NULL,NULL,Cropland,Water,Non_Wetland,Forest
61,NULL,NULL,Wetland,NULL,Wetland,NULL
62,NULL,NULL,Wetland,NULL,Wetland,Grassland
63,NULL,NULL,Wetland,NULL,Wetland,Cropland
64,NULL,NULL,Wetland,NULL,Wetland,Wetland
65,NULL,NULL,Wetland,NULL,Wetland,Bareland
66,NULL,NULL,Wetland,NULL,Wetland,Water
67,NULL,NULL,Wetland,Non_Water,Wetland,NULL
68,NULL,NULL,Wetland,Water,Wetland,NULL
69,NULL,NULL,Wetland,Water,Wetland,Grassland
70,NULL,NULL,Wetland,Water,Wetland,Cropland
71,NULL,NULL,Wetland,Water,Wetland,Wetland
72,NULL,NULL,Wetland,Water,Wetland,Bareland
73,NULL,NULL,Wetland,Water,Wetland,Water
74,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
75,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
76,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
77,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
78,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
79,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
80,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
81,NULL,NULL,Bareland,NULL,Non_Wetland,Water
82,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
84,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
85,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
87,NULL,NULL,Bareland,Water,Non_Wetland,NULL
88,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
89,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
90,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
91,NULL,NULL,Bareland,Water,Non_Wetland,Water
92,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
93,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
94,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
95,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
96,NULL,NULL,Built-up,NULL,Non_Wetland,Water
97,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
98,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
99,NULL,NULL,Built-up,Water,Non_Wetland,NULL
100,NULL,NULL,Built-up,Water,Non_Wetland,Water
101,NULL,NULL,Water,NULL,Water,NULL
102,NULL,NULL,Water,NULL,Water,Grassland
103,NULL,NULL,Water,NULL,Water,Cropland
104,NULL,NULL,Water,NULL,Water,Wetland
105,NULL,NULL,Water,NULL,Water,Water
106,NULL,NULL,Water,NULL,Water,Forest
107,NULL,NULL,Water,Non_Water,Water,NULL
108,NULL,NULL,Water,Non_Water,Water,Grassland
109,NULL,NULL,Water,Non_Water,Water,Cropland
110,NULL,NULL,Water,Non_Water,Water,Bareland
111,NULL,NULL,Water,Water,Water,NULL
112,NULL,NULL,Water,Water,Water,Grassland
113,NULL,NULL,Water,Water,Water,Cropland
114,NULL,NULL,Water,Water,Water,Wetland
115,NULL,NULL,Water,Water,Water,Bareland
116,NULL,NULL,Water,Water,Water,Water
117,NULL,NULL,Forest,NULL,Non_Wetland,NULL
118,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
119,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
120,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
121,NULL,NULL,Forest,NULL,Non_Wetland,Water
122,NULL,NULL,Forest,NULL,Non_Wetland,Forest
123,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
124,NULL,NULL,Forest,Water,Non_Wetland,NULL
125,NULL,NULL,Forest,Water,Non_Wetland,Grassland
