Value,AFRICA_2024_DynamicWorld_2024_37PFL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PFL_M_R,AFRICA_2024_GLC_FCS30D_2022_37PFL_M_R,AFRICA_2024_GSW_Yearly_2021_37PFL_M_R,AFRICA_2024_GWL_FCS30D_2022_37PFL_M_R,AFRICA_2024_WorldCover_2021_37PFL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,NULL,Water,Non_Wetland,NULL
10,NULL,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
27,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
33,NULL,NULL,Grassland,Water,Non_Wetland,NULL
34,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
35,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
36,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
37,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
39,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
44,NULL,NULL,Cropland,NULL,Non_Wetland,Water
45,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
51,NULL,NULL,Cropland,Water,Non_Wetland,NULL
52,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
53,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
54,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
55,NULL,NULL,Cropland,Water,Non_Wetland,Water
56,NULL,NULL,Wetland,NULL,Wetland,NULL
57,NULL,NULL,Wetland,NULL,Wetland,Grassland
58,NULL,NULL,Wetland,NULL,Wetland,Cropland
59,NULL,NULL,Wetland,NULL,Wetland,Wetland
60,NULL,NULL,Wetland,NULL,Wetland,Bareland
61,NULL,NULL,Wetland,NULL,Wetland,Water
62,NULL,NULL,Wetland,NULL,Wetland,Forest
63,NULL,NULL,Wetland,Non_Water,Wetland,NULL
64,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
65,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
66,NULL,NULL,Wetland,Non_Water,Wetland,Water
67,NULL,NULL,Wetland,Water,Wetland,NULL
68,NULL,NULL,Wetland,Water,Wetland,Grassland
69,NULL,NULL,Wetland,Water,Wetland,Wetland
70,NULL,NULL,Wetland,Water,Wetland,Bareland
71,NULL,NULL,Wetland,Water,Wetland,Water
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
73,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
74,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
75,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
76,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
77,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
78,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
79,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
80,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
81,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
82,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
83,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
84,NULL,NULL,Bareland,NULL,Non_Wetland,Water
85,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
87,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
91,NULL,NULL,Bareland,Water,Non_Wetland,NULL
92,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
93,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
94,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
95,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
96,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
97,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
98,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
99,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
100,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
101,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
102,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
103,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
104,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
105,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
106,NULL,NULL,Water,NULL,Water,Grassland
107,NULL,NULL,Water,NULL,Water,Wetland
108,NULL,NULL,Water,Non_Water,Water,Wetland
109,NULL,NULL,Water,Water,Water,Wetland
110,NULL,NULL,Water,Water,Water,Water
111,NULL,NULL,Forest,NULL,Non_Wetland,NULL
112,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
113,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
114,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
115,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
116,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
117,NULL,NULL,Forest,NULL,Non_Wetland,Forest
118,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
119,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
120,NULL,NULL,Forest,Water,Non_Wetland,NULL
121,NULL,NULL,Forest,Water,Non_Wetland,Wetland
