Value,AFRICA_2024_DynamicWorld_2024_37NEH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NEH_M_R,AFRICA_2024_GLC_FCS30D_2022_37NEH_M_R,AFRICA_2024_GSW_Yearly_2021_37NEH_M_R,AFRICA_2024_GWL_FCS30D_2022_37NEH_M_R,AFRICA_2024_WorldCover_2021_37NEH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
17,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
24,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
26,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
27,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
28,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
33,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
34,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
36,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
37,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
38,NULL,NULL,Wetland,NULL,Wetland,Wetland
39,NULL,NULL,Wetland,NULL,Wetland,Water
40,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
41,NULL,NULL,Wetland,Water,Wetland,Cropland
42,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
43,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
44,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
45,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
46,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
47,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
48,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
49,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
50,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
51,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
52,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
53,NULL,NULL,Bareland,NULL,Non_Wetland,Water
54,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
55,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
56,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
57,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
58,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
59,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
60,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
61,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
62,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
63,NULL,NULL,Water,NULL,Water,Grassland
64,NULL,NULL,Water,NULL,Water,Cropland
65,NULL,NULL,Forest,NULL,Non_Wetland,NULL
66,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
67,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
68,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
69,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
70,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
71,NULL,NULL,Forest,NULL,Non_Wetland,Forest
72,NULL,NULL,Forest,Water,Non_Wetland,Cropland
73,NULL,NULL,Forest,Water,Non_Wetland,Water
74,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
75,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
76,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
77,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
78,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
79,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
80,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
81,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
82,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
83,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
84,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
88,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
89,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
90,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
91,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
92,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
93,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
94,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
95,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
96,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
97,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
98,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
99,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
100,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
101,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
102,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
103,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
104,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
105,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
106,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
107,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
108,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
109,NULL,Cropland,Wetland,NULL,Wetland,Cropland
110,NULL,Cropland,Wetland,NULL,Wetland,Forest
111,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
112,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
113,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
114,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
115,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
116,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
117,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
