Value,AFRICA_2024_DynamicWorld_2024_37PBK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PBK_M_R,AFRICA_2024_GLC_FCS30D_2022_37PBK_M_R,AFRICA_2024_GSW_Yearly_2021_37PBK_M_R,AFRICA_2024_GWL_FCS30D_2022_37PBK_M_R,AFRICA_2024_WorldCover_2021_37PBK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
24,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
28,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
32,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
33,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
38,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
41,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
42,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
43,NULL,NULL,Wetland,NULL,Wetland,NULL
44,NULL,NULL,Wetland,NULL,Wetland,Cropland
45,NULL,NULL,Wetland,NULL,Wetland,Wetland
46,NULL,NULL,Wetland,NULL,Wetland,Forest
47,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
48,NULL,NULL,Wetland,Water,Wetland,Cropland
49,NULL,NULL,Wetland,Water,Wetland,Wetland
50,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
51,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
52,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
53,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
54,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
56,NULL,NULL,Bareland,NULL,Non_Wetland,Water
57,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
60,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
61,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
62,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
63,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
64,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
65,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
66,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
67,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
68,NULL,NULL,Forest,NULL,Non_Wetland,NULL
69,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
70,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
71,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
72,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
73,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
74,NULL,NULL,Forest,NULL,Non_Wetland,Forest
75,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
76,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
77,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
78,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
79,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
80,NULL,NULL,Forest,Water,Non_Wetland,Grassland
81,NULL,NULL,Forest,Water,Non_Wetland,Cropland
82,NULL,NULL,Forest,Water,Non_Wetland,Wetland
83,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
84,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
85,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
86,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
87,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
88,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
89,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
90,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
91,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
92,NULL,Cropland,NULL,Water,Non_Wetland,Grassland
93,NULL,Cropland,NULL,Water,Non_Wetland,Cropland
94,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
101,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
102,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
103,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
104,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
105,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
106,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
107,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland
108,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
109,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
110,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
111,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
112,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
113,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
114,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
115,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
116,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
117,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
118,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
