Value,AFRICA_2024_DynamicWorld_2024_37NDE_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NDE_M_R,AFRICA_2024_GLC_FCS30D_2022_37NDE_M_R,AFRICA_2024_GSW_Yearly_2021_37NDE_M_R,AFRICA_2024_GWL_FCS30D_2022_37NDE_M_R,AFRICA_2024_WorldCover_2021_37NDE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
20,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Water
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
27,NULL,NULL,Grassland,NULL,Non_Wetland,Water
28,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
34,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
35,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
36,NULL,NULL,Grassland,Water,Non_Wetland,Water
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
38,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
40,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
42,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
45,NULL,NULL,Cropland,Water,Non_Wetland,NULL
46,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
47,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
48,NULL,NULL,Wetland,NULL,Wetland,Grassland
49,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
50,NULL,NULL,Wetland,Water,Wetland,Grassland
51,NULL,NULL,Wetland,Water,Wetland,Cropland
52,NULL,NULL,Wetland,Water,Wetland,Wetland
53,NULL,NULL,Wetland,Water,Wetland,Bareland
54,NULL,NULL,Wetland,Water,Wetland,Water
55,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
58,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
59,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
60,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
61,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
62,NULL,NULL,Bareland,NULL,Non_Wetland,Water
63,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
64,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
65,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
66,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
67,NULL,NULL,Bareland,Water,Non_Wetland,NULL
68,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
69,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
70,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
71,NULL,NULL,Bareland,Water,Non_Wetland,Water
72,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
73,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
74,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
75,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
76,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
77,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
78,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
79,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
80,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
81,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
82,NULL,NULL,Water,NULL,Water,Grassland
83,NULL,NULL,Water,NULL,Water,Cropland
84,NULL,NULL,Water,Non_Water,Water,Grassland
85,NULL,NULL,Water,Non_Water,Water,Cropland
86,NULL,NULL,Water,Water,Water,Grassland
87,NULL,NULL,Water,Water,Water,Cropland
88,NULL,NULL,Water,Water,Water,Bareland
89,NULL,NULL,Water,Water,Water,Water
90,NULL,NULL,Forest,NULL,Non_Wetland,NULL
91,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
92,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
93,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
94,NULL,NULL,Forest,NULL,Non_Wetland,Forest
95,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
96,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
97,NULL,NULL,Forest,Water,Non_Wetland,Grassland
98,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
99,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
100,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
104,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
105,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
106,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
107,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
108,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
109,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
110,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
111,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
112,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
113,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
114,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
116,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
117,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
118,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
119,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
120,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
