Value,AFRICA_2024_DynamicWorld_2024_37NFF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NFF_M_R,AFRICA_2024_GLC_FCS30D_2022_37NFF_M_R,AFRICA_2024_GSW_Yearly_2021_37NFF_M_R,AFRICA_2024_GWL_FCS30D_2022_37NFF_M_R,AFRICA_2024_WorldCover_2021_37NFF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
23,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Water
26,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
28,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
32,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL
39,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
40,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
41,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
42,NULL,NULL,Grassland,Water,Non_Wetland,Forest
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
44,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
48,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
53,NULL,NULL,Cropland,Water,Non_Wetland,NULL
54,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
55,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
56,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
57,NULL,NULL,Cropland,Water,Non_Wetland,Forest
58,NULL,NULL,Wetland,NULL,Wetland,NULL
59,NULL,NULL,Wetland,NULL,Wetland,Grassland
60,NULL,NULL,Wetland,NULL,Wetland,Forest
61,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
62,NULL,NULL,Wetland,Water,Wetland,NULL
63,NULL,NULL,Wetland,Water,Wetland,Forest
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
68,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
69,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
70,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
71,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
72,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
73,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
74,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
76,NULL,NULL,Bareland,Water,Non_Wetland,NULL
77,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
78,NULL,NULL,Bareland,Water,Non_Wetland,Water
79,NULL,NULL,Bareland,Water,Non_Wetland,Forest
80,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
81,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
82,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
83,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
84,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
85,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
86,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
87,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
88,NULL,NULL,Built-up,Water,Non_Wetland,NULL
89,NULL,NULL,Built-up,Water,Non_Wetland,Forest
90,NULL,NULL,Water,NULL,Water,NULL
91,NULL,NULL,Water,NULL,Water,Grassland
92,NULL,NULL,Water,NULL,Water,Cropland
93,NULL,NULL,Water,NULL,Water,Bareland
94,NULL,NULL,Water,Non_Water,Water,Grassland
95,NULL,NULL,Water,Non_Water,Water,Cropland
96,NULL,NULL,Water,Non_Water,Water,Bareland
97,NULL,NULL,Water,Water,Water,Grassland
98,NULL,NULL,Forest,NULL,Non_Wetland,NULL
99,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
100,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
101,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
102,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
103,NULL,NULL,Forest,NULL,Non_Wetland,Forest
104,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
105,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
106,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
107,NULL,NULL,Forest,Water,Non_Wetland,NULL
108,NULL,NULL,Forest,Water,Non_Wetland,Grassland
109,NULL,NULL,Forest,Water,Non_Wetland,Forest
110,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
111,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
112,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
113,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
114,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
115,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
116,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
117,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
118,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
119,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
120,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
121,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
