Value,AFRICA_2024_DynamicWorld_2024_37PFT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PFT_M_R,AFRICA_2024_GLC_FCS30D_2022_37PFT_M_R,AFRICA_2024_GSW_Yearly_2021_37PFT_M_R,AFRICA_2024_GWL_FCS30D_2022_37PFT_M_R,AFRICA_2024_WorldCover_2021_37PFT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
4,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
5,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
6,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
7,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
8,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
9,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
13,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
14,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
15,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
16,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
17,NULL,NULL,Cropland,Water,Non_Wetland,NULL
18,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
19,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
20,NULL,NULL,Wetland,NULL,Wetland,Wetland
21,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
22,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
23,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
25,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
26,NULL,NULL,Forest,NULL,Non_Wetland,NULL
27,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
28,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
29,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
30,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
31,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
32,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
33,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
34,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
35,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
36,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
37,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
38,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
39,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
40,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
41,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
42,Grassland,Water,Wetland,Non_Water,Wetland,Water
43,Grassland,Water,Wetland,Water,Wetland,Water
44,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
45,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
46,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
47,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
48,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
49,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
50,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
51,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
52,Cropland,Water,Wetland,NULL,Wetland,NULL
53,Cropland,Water,Wetland,NULL,Wetland,Wetland
54,Cropland,Water,Wetland,NULL,Wetland,Forest
55,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water
56,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
57,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
58,Wetland,NULL,Cropland,NULL,Non_Wetland,Wetland
59,Wetland,NULL,Cropland,NULL,Non_Wetland,Bareland
60,Wetland,NULL,Cropland,NULL,Non_Wetland,Water
61,Wetland,NULL,Cropland,Water,Non_Wetland,Wetland
62,Wetland,NULL,Wetland,NULL,Wetland,NULL
63,Wetland,NULL,Wetland,NULL,Wetland,Grassland
64,Wetland,NULL,Wetland,NULL,Wetland,Wetland
65,Wetland,NULL,Wetland,NULL,Wetland,Bareland
66,Wetland,NULL,Wetland,NULL,Wetland,Water
67,Wetland,NULL,Wetland,NULL,Wetland,Forest
68,Wetland,NULL,Wetland,Water,Wetland,Wetland
69,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
70,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
71,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland
72,Wetland,Cropland,Wetland,NULL,Wetland,NULL
73,Wetland,Cropland,Wetland,NULL,Wetland,Wetland
74,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL
75,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland
76,Wetland,Wetland,Cropland,NULL,Non_Wetland,Wetland
77,Wetland,Wetland,Cropland,NULL,Non_Wetland,Bareland
78,Wetland,Wetland,Wetland,NULL,NULL,Water
79,Wetland,Wetland,Wetland,NULL,Wetland,NULL
80,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
81,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
82,Wetland,Wetland,Wetland,NULL,Wetland,Bareland
83,Wetland,Wetland,Wetland,NULL,Wetland,Water
84,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
85,Wetland,Wetland,Wetland,Water,Wetland,Wetland
86,Wetland,Water,Cropland,NULL,Non_Wetland,NULL
87,Wetland,Water,Cropland,NULL,Non_Wetland,Wetland
88,Wetland,Water,Cropland,NULL,Non_Wetland,Bareland
89,Wetland,Water,Cropland,NULL,Non_Wetland,Water
90,Wetland,Water,Cropland,Water,Non_Wetland,Wetland
91,Wetland,Water,Wetland,NULL,NULL,Wetland
92,Wetland,Water,Wetland,NULL,Wetland,NULL
93,Wetland,Water,Wetland,NULL,Wetland,Grassland
94,Wetland,Water,Wetland,NULL,Wetland,Cropland
95,Wetland,Water,Wetland,NULL,Wetland,Wetland
96,Wetland,Water,Wetland,NULL,Wetland,Bareland
97,Wetland,Water,Wetland,NULL,Wetland,Water
98,Wetland,Water,Wetland,NULL,Wetland,Forest
99,Wetland,Water,Wetland,Non_Water,NULL,Wetland
100,Wetland,Water,Wetland,Non_Water,Wetland,Cropland
101,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
102,Wetland,Water,Wetland,Non_Water,Wetland,Water
103,Wetland,Water,Wetland,Water,NULL,Wetland
104,Wetland,Water,Wetland,Water,Wetland,NULL
105,Wetland,Water,Wetland,Water,Wetland,Wetland
106,Wetland,Water,Wetland,Water,Wetland,Water
107,Wetland,Water,Bareland,NULL,Non_Wetland,NULL
108,Wetland,Water,Bareland,NULL,Non_Wetland,Grassland
109,Wetland,Water,Bareland,Water,Non_Wetland,Water
110,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL
111,Wetland,Forest,Grassland,NULL,Non_Wetland,Wetland
112,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL
113,Wetland,Forest,Cropland,NULL,Non_Wetland,Wetland
114,Wetland,Forest,Cropland,NULL,Non_Wetland,Forest
115,Wetland,Forest,Wetland,NULL,Wetland,NULL
116,Wetland,Forest,Wetland,NULL,Wetland,Grassland
117,Wetland,Forest,Wetland,NULL,Wetland,Wetland
118,Wetland,Forest,Wetland,NULL,Wetland,Water
119,Wetland,Forest,Wetland,NULL,Wetland,Forest
120,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland
121,Wetland,Forest,Wetland,Water,Wetland,Wetland
122,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
