Value,AFRICA_2024_DynamicWorld_2024_36PVC_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PVC_M_R,AFRICA_2024_GLC_FCS30D_2022_36PVC_M_R,AFRICA_2024_GSW_Yearly_2021_36PVC_M_R,AFRICA_2024_GWL_FCS30D_2022_36PVC_M_R,AFRICA_2024_WorldCover_2021_36PVC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Water,Non_Wetland,Water
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
15,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
19,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
26,NULL,NULL,Grassland,Water,Non_Wetland,NULL
27,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
28,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
29,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
30,NULL,NULL,Grassland,Water,Non_Wetland,Built-up
31,NULL,NULL,Grassland,Water,Non_Wetland,Water
32,NULL,NULL,Grassland,Water,Non_Wetland,Forest
33,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
34,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
38,NULL,NULL,Cropland,NULL,Non_Wetland,Water
39,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
46,NULL,NULL,Cropland,Water,Non_Wetland,NULL
47,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
48,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
49,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
50,NULL,NULL,Cropland,Water,Non_Wetland,Built-up
51,NULL,NULL,Cropland,Water,Non_Wetland,Water
52,NULL,NULL,Cropland,Water,Non_Wetland,Forest
53,NULL,NULL,Wetland,NULL,Wetland,Cropland
54,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
55,NULL,NULL,Wetland,Non_Water,Wetland,Forest
56,NULL,NULL,Wetland,Water,Wetland,Cropland
57,NULL,NULL,Wetland,Water,Wetland,Water
58,NULL,NULL,Wetland,Water,Wetland,Forest
59,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
60,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
61,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
62,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
64,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
65,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
66,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
67,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
68,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
69,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
70,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
71,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
72,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
73,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
74,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
75,NULL,NULL,Bareland,Water,Non_Wetland,Water
76,NULL,NULL,Bareland,Water,Non_Wetland,Forest
77,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
78,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
79,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
80,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
81,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
82,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
83,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
84,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
85,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
86,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
87,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
88,NULL,NULL,Built-up,Water,Non_Wetland,NULL
89,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
90,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
91,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
92,NULL,NULL,Built-up,Water,Non_Wetland,Forest
93,NULL,NULL,Water,NULL,Water,Cropland
94,NULL,NULL,Water,NULL,Water,Forest
95,NULL,NULL,Forest,NULL,Non_Wetland,NULL
96,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
97,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
98,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
99,NULL,NULL,Forest,NULL,Non_Wetland,Forest
100,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
101,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
102,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
103,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
104,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
105,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
106,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
107,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
108,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
109,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
110,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
111,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
112,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
113,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
114,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
116,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
117,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
118,NULL,Cropland,Grassland,NULL,Non_Wetland,Water
119,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
