Value,AFRICA_2024_DynamicWorld_2024_35PNM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PNM_M_R,AFRICA_2024_GLC_FCS30D_2022_35PNM_M_R,AFRICA_2024_GSW_Yearly_2021_35PNM_M_R,AFRICA_2024_GWL_FCS30D_2022_35PNM_M_R,AFRICA_2024_WorldCover_2021_35PNM_M_R
123,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
124,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
125,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
126,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
127,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
128,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
129,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
130,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
131,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
132,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
133,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
134,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
135,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
136,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
137,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
138,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
139,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland
140,NULL,Wetland,Wetland,NULL,Wetland,NULL
141,NULL,Wetland,Wetland,NULL,Wetland,Grassland
142,NULL,Wetland,Wetland,NULL,Wetland,Cropland
143,NULL,Wetland,Wetland,NULL,Wetland,Forest
144,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
145,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
146,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
147,NULL,Wetland,Forest,Non_Water,Non_Wetland,Cropland
148,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
149,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
150,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
151,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
152,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
153,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
154,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
155,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
156,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
157,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
158,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
159,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
160,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
161,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
162,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
163,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
164,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
165,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
166,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
167,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
168,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
169,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
170,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
171,NULL,Water,NULL,NULL,Non_Wetland,Grassland
172,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland
173,NULL,Water,NULL,Water,Non_Wetland,Cropland
174,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
175,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
176,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
177,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
178,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
179,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
180,NULL,Forest,NULL,NULL,Non_Wetland,NULL
181,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
182,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
183,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
184,NULL,Forest,NULL,NULL,Non_Wetland,Forest
185,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
186,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland
187,NULL,Forest,NULL,Water,Non_Wetland,Grassland
188,NULL,Forest,NULL,Water,Non_Wetland,Cropland
189,NULL,Forest,NULL,Water,Non_Wetland,Wetland
190,NULL,Forest,NULL,Water,Non_Wetland,Forest
191,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
192,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
193,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
194,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
195,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
196,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
197,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
198,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Cropland
199,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
200,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
201,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
202,NULL,Forest,Shrubland,Water,Non_Wetland,Cropland
203,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
204,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
205,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
206,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
207,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
208,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
209,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
210,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
211,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
212,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
213,NULL,Forest,Grassland,Non_Water,Non_Wetland,Cropland
214,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
215,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
216,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
217,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
218,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
219,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
220,NULL,Forest,Cropland,Non_Water,Non_Wetland,Wetland
221,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
222,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
223,NULL,Forest,Cropland,Water,Non_Wetland,Wetland
224,NULL,Forest,Wetland,NULL,Wetland,NULL
225,NULL,Forest,Wetland,NULL,Wetland,Grassland
226,NULL,Forest,Wetland,NULL,Wetland,Cropland
227,NULL,Forest,Wetland,NULL,Wetland,Wetland
228,NULL,Forest,Wetland,NULL,Wetland,Forest
229,NULL,Forest,Wetland,Non_Water,Wetland,NULL
230,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
231,NULL,Forest,Wetland,Non_Water,Wetland,Cropland
232,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
233,NULL,Forest,Wetland,Non_Water,Wetland,Forest
234,NULL,Forest,Wetland,Water,Wetland,NULL
235,NULL,Forest,Wetland,Water,Wetland,Grassland
236,NULL,Forest,Wetland,Water,Wetland,Wetland
237,NULL,Forest,Wetland,Water,Wetland,Forest
238,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
239,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
240,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
241,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
242,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
243,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
244,NULL,Forest,Water,NULL,Water,Grassland
245,NULL,Forest,Water,Non_Water,Water,Grassland
246,NULL,Forest,Water,Non_Water,Water,Forest
247,NULL,Forest,Water,Water,Water,Grassland
248,NULL,Forest,Water,Water,Water,Wetland
249,NULL,Forest,Water,Water,Water,Forest
250,NULL,Forest,Forest,NULL,Non_Wetland,NULL
251,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
252,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
253,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
254,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
255,NULL,Forest,Forest,NULL,Non_Wetland,Forest
256,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
257,NULL,Forest,Forest,Non_Water,Non_Wetland,Cropland
258,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
259,NULL,Forest,Forest,Water,Non_Wetland,Grassland
260,NULL,Forest,Forest,Water,Non_Wetland,Forest
261,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
262,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
263,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
264,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
265,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
266,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
267,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
268,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
269,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
270,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
271,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
272,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
273,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
274,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
275,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
276,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
277,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
278,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
279,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
280,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
281,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
282,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
283,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
284,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
285,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
286,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
287,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
288,Grassland,NULL,Wetland,NULL,Wetland,NULL
289,Grassland,NULL,Wetland,NULL,Wetland,Grassland
290,Grassland,NULL,Wetland,NULL,Wetland,Cropland
291,Grassland,NULL,Wetland,NULL,Wetland,Wetland
292,Grassland,NULL,Wetland,NULL,Wetland,Forest
293,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
294,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
295,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
296,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
297,Grassland,NULL,Wetland,Water,Wetland,Wetland
298,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
299,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
300,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
301,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
302,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
303,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
304,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
305,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
306,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
307,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
308,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
309,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
310,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
311,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
312,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
313,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
314,Grassland,Cropland,Wetland,NULL,Wetland,Cropland
315,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
316,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland
317,Grassland,Cropland,Wetland,Non_Water,Wetland,Cropland
318,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
319,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
320,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
321,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
322,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
323,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
324,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
325,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
326,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
327,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
328,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
329,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
330,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
331,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
332,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland
333,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
334,Grassland,Forest,Wetland,NULL,Wetland,Grassland
335,Grassland,Forest,Wetland,NULL,Wetland,Cropland
336,Grassland,Forest,Wetland,NULL,Wetland,Wetland
337,Grassland,Forest,Wetland,NULL,Wetland,Forest
338,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
339,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
340,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
341,Grassland,Forest,Bareland,NULL,Non_Wetland,Cropland
342,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
343,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
344,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
345,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
346,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
347,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
348,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
349,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
350,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
351,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
352,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
353,Cropland,NULL,NULL,Non_Water,Non_Wetland,Wetland
354,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
355,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
356,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
357,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
358,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
359,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
360,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
361,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
362,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
363,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
364,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
365,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
366,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
367,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
368,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
369,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
370,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
371,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
372,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
373,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
374,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
375,Cropland,NULL,Wetland,NULL,Wetland,NULL
376,Cropland,NULL,Wetland,NULL,Wetland,Grassland
377,Cropland,NULL,Wetland,NULL,Wetland,Cropland
378,Cropland,NULL,Wetland,NULL,Wetland,Wetland
379,Cropland,NULL,Wetland,NULL,Wetland,Forest
380,Cropland,NULL,Wetland,Non_Water,Wetland,NULL
381,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
382,Cropland,NULL,Wetland,Non_Water,Wetland,Cropland
383,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
384,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
385,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
386,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
387,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
388,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
389,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
390,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
391,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
392,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
393,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
394,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL
395,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
396,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
397,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
398,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
399,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
400,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
401,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
402,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
403,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
404,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
405,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
406,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
407,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
408,Cropland,Cropland,Wetland,NULL,Wetland,Cropland
409,Cropland,Cropland,Wetland,NULL,Wetland,Wetland
410,Cropland,Cropland,Wetland,Non_Water,Wetland,Cropland
411,Cropland,Cropland,Wetland,Non_Water,Wetland,Wetland
412,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
413,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
414,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
415,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
416,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL
417,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
418,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
419,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
420,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland
421,Cropland,Forest,NULL,NULL,Non_Wetland,Wetland
422,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
423,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
424,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
425,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
426,Cropland,Forest,Shrubland,NULL,Non_Wetland,Wetland
